Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Вес (с упаковкой),Управление,Ширина рабочей зоны,Тип отбраоковщика,Чувствительность (черный металл),Чувствительность (нерж. сталь),Высота рабочей зоны,Ширина транспортера,Максимальная нагрузка
https://cdn.entero.ru/mp@2x/9e/d0/9ed0f51e57788b4be4919414a74df0f3.jpg,Металлодетектор конвейерный Hualian IMD-I-5025,Металлодетектор конвейерный Hualian IMD-I-5025,0,RUB,Нет,Hualian,Профоборудование,Инспекционное,Металлодетекторы,https://entero.ru/item/310120,"<p>Конвейерный металлодетектор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/310120"">Hualian IMD-I-5025</a></b> предназначен для контроля наличия в сырье или готовой продукции посторонних металлических частиц в пищевом производстве. Модель оснащена ЖК дисплеем, звуковой и световой сигнализацией. Лента транспортера выполнена из пищевого ПВХ.</p>

<p><b>Особенности:</b></p>

<ul>
<li>3 типа отбраковщиков:
<ul>
<li>Воздушный</li>
<li>Опускающийся «дроппер»</li>
<li>Отбраковщик-толкатель «пушер»</li>
</ul>
</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Нагрузка: от 30 до 50 кг</li>
<li>Скорость транспортера: 25 м/мин.</li>
<li>Число сохраняемых продуктов: 52</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Сенсорное управление</li>
<li>Степень пыле- и влагозащиты: IP30, IP54, IP65</li>
<li>Полиуретановая или модульная лента</li>
<li>Сенсорный дисплей</li>
</ul>",310120,конвейерный,220 В,,1950 мм,1200 мм,1400 мм,,,,0,,,320 кг,,Китай,,кнопочное,1950 мм,сигнал и остановка,1.2 мм,2.5 мм,1400 мм,1950 мм,50 кг
https://cdn.entero.ru/mp@2x/9b/5f/9b5f43f91134ff36974be5da54a6f213.jpg,Металлодетектор конвейерный Hualian IMD-I-4018,Металлодетектор конвейерный Hualian IMD-I-4018,906016,RUB,Нет,Hualian,Профоборудование,Инспекционное,Металлодетекторы,https://entero.ru/item/310104,"<p>Конвейерный металлодетектор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/310104"">Hualian IMD-I-4018</a></b> предназначен для контроля наличия в сырье или готовой продукции посторонних металлических частиц в пищевом производстве. Модель оснащена ЖК дисплеем, звуковой и световой сигнализацией. Лента транспортера выполнена из пищевого ПВХ.</p>

<p><b>Особенности:</b></p>

<ul>
<li>3 типа отбраковщиков:
<ul>
<li>Воздушный</li>
<li>Опускающийся «дроппер»</li>
<li>Отбраковщик-толкатель «пушер»</li>
</ul>
</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Нагрузка: от 30 до 50 кг</li>
<li>Скорость транспортера: 25 м/мин.</li>
<li>Число сохраняемых продуктов: 52</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Сенсорное управление</li>
<li>Степень пыле- и влагозащиты: IP30, IP54, IP65</li>
<li>Полиуретановая или модульная лента</li>
<li>Сенсорный дисплей</li>
</ul>",310104,конвейерный,220 В,,1950 мм,1200 мм,1400 мм,,,,0,,943767,320 кг,,Китай,,кнопочное,1950 мм,сигнал и остановка,0.8 мм,2 мм,1400 мм,1950 мм,50 кг
https://cdn.entero.ru/mp@2x/1c/2f/1c2f58aaa7cf754fb7d77f8abf22c795.jpg,Металлодетектор конвейерный Hualian IMD-I-4015,Металлодетектор конвейерный Hualian IMD-I-4015,1062600,RUB,Нет,Hualian,Профоборудование,Инспекционное,Металлодетекторы,https://entero.ru/item/310133,"<p>Конвейерный металлодетектор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/310133"">Hualian IMD-I-4015</a></b> предназначен для контроля наличия в сырье или готовой продукции посторонних металлических частиц в пищевом производстве. Модель оснащена ЖК дисплеем, звуковой и световой сигнализацией. Лента транспортера выполнена из пищевого ПВХ.</p>

<p><b>Особенности:</b></p>

<ul>
<li>3 типа отбраковщиков:
<ul>
<li>Воздушный</li>
<li>Опускающийся «дроппер»</li>
<li>Отбраковщик-толкатель «пушер»</li>
</ul>
</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Нагрузка: от 5 до 10 кг</li>
<li>Скорость транспортера: 25 м/мин.</li>
<li>Число сохраняемых продуктов: 52</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Сенсорное управление</li>
<li>Степень пыле- и влагозащиты: IP30, IP54, IP65</li>
<li>Полиуретановая или модульная лента</li>
<li>Сенсорный дисплей</li>
</ul>",310133,конвейерный,220 В,,1950 мм,1200 мм,1400 мм,,,,0,,,320 кг,,Китай,,кнопочное,1950 мм,сигнал и остановка,0.7 мм,1.5 мм,1400 мм,1950 мм,10 кг
https://cdn.entero.ru/mp@2x/d7/38/d738408a3ba03f51191d7c49d01df7d2.jpg,Металлодетектор конвейерный Hualian IMD-IIS 5015,Металлодетектор конвейерный Hualian IMD-IIS 5015,1096200,RUB,Нет,Hualian,Профоборудование,Инспекционное,Металлодетекторы,https://entero.ru/item/374080,"<p>Конвейерный металлодетектор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/374080"">Hualian IMD-IIS 5015</a></b> предназначен для контроля наличия в сырье или готовой продукции посторонних металлических частиц в пищевом производстве. Модель оснащена ЖК дисплеем, звуковой и световой сигнализацией. Корпус изготовлен из материала SUS 304, лента транспортера - из пищевого ПВХ.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Крупная детекторная рама</li>
<li>Подходит для проверки штучной и упакованной в короба и поддоны продукции: (охлажденной или замороженной птицы, замороженной рыбы в глазури и т.п)</li>
<li>Обнаружение примесей любых металлов (железо, медь, алюминий, сталь, золото, серебро и др.)</li>
<li>Легко устанавливается и адаптируется к различным конвейерным линиям </li>
<li>При обнаружении посторонних частиц срабатывает звуковая и световая сигнализация</li>
<li>3 системы отбраковки по выбору:
<ul>
<li>Воздушный отбраковщик</li>
<li>Дроппер </li>
<li>Отбраковщик-толкатель «пушер»</li>
</ul>
</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Нагрузка: от 30 до 50 кг</li>
<li>Размер зоны детектирования: 500х250 мм</li>
<li>Длина транспортёра: 1800 мм </li>
<li>Ширина транспортёра (PU лента):460 мм</li>
<li>Скорость транспортера: 25 м/мин.</li>
<li>Высота от пола до транспортёра: 750+100 мм</li>
<li>Число сохраняемых продуктов: 52</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Степень пыле- и влагозащиты: от IP30 до IP65</li>
<li>Полиуретановая или модульная лента</li>
<li>Сенсорное управление</li>
<li>Сенсорный дисплей</li>
</ul>",374080,конвейерный,220 В,,1510 мм,985 мм,1200 мм,320 кг,1,1950x1200x1400 мм,0,,,,,Китай,,кнопочное,,автоматический,1.2 мм,2.5 мм,,,от 30 до 50 кг
https://entero.ru/i/nofoto-m.jpg,Рентген-детектор Hualian TXR-5030,Рентген-детектор Hualian TXR-5030,7880355,RUB,Нет,Hualian,Профоборудование,Инспекционное,Металлодетекторы,https://entero.ru/item/374085,"<p>Рентген-детектор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/374085"">Hualian TXR-5030</a></b> предназначен для контроля наличия в сырье или готовой продукции различных примесей, не только металл, но и другие материалы (стекло, пластик, резину, даже наличие насекомых) в пищевом производстве. Модель оснащена 15-дюймовый сенсорным TFT полноцветным экраном. Корпус изготовлен из нержавеющей стали SUS 304, лента транспортера - из PU.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Лучшая обнаруживающая способность</li>
<li>Операционная система Windows XP Professional</li>
<li>Легкая очистка</li>
<li>Управление продукцией: полный журнал продукции</li>
<li>Интерфейсы подключения: сетевой порт (LAN), порт USB</li>
<li>Сохранение продуктов: до 1000 наборов параметров продуктов</li>
<li>Управление оборудованием:
<ul>
<li>Наработка на отказ (MTBF)</li>
<li>Время восстановления (MTTR)</li>
<li>Журнал ошибок</li>
<li>Анализ ошибок</li>
</ul>
</li>
<li>Настройка параметров:
<ul>
<li>Автоматическое обучение </li>
<li>Ручная установка</li>
</ul>
</li>
<li>Управление изображениями:
<ul>
<li>Автосохранение</li>
<li>Печать</li>
<li>Анализ изображений</li>
</ul>
</li>
<li>Воздушная система охлаждения (кондиционирование)</li>
<li>Защита от излучения завесой (шторка)</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Нагрузка: от 30 кг</li>
<li>Скорость конвейера: 10-40 м/мин</li>
<li>Ширина конвейера: 10-40 м/мин</li>
<li>Скорость конвейера: 520 мм</li>
<li>Максимальная высота продукта: 250 мм</li>
<li>Лучшая обнаруживающая способность: 
<ul>
<li>Шар из нерж. стали SUS304: 0,3 мм</li>
<li>Проволока из нерж. стали SUS304: 0,2х2 мм</li>
<li>Стекло: 0,8 мм </li>
<li>Керамика: 0,8 мм</li>
</ul>
</li>
<li>Рабочая температура: 0°C до 40°C</li>
<li>Рабочая влажность: 30% до 90%</li>
<li>Утечка рентгеновского излучения:< 1 мкЗв/час (микрозиверт в час)</li>
</ul>",374085,,380 В,0.08 кВт,1160 мм,1100 мм,2290 мм,320 кг,,,0,https://entero.ru/manuals/504348/%D0%93%D0%B0%D0%B1%D0%B0%D1%80%D0%B8%D1%82%D0%BD%D0%B0%D1%8F%20%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Hualian%20TXR-5030.jpg,8208703,,,Китай,,,,,,,,,30 кг
https://cdn.entero.ru/mp@2x/64/2a/642a6bc731db1252fbb8a5e26e367b3f.jpg;https://cdn.entero.ru/mp@2x/46/ba/46ba0947ddddcc88bf5ca9e66efa19a0.jpg;https://cdn.entero.ru/mp@2x/4c/96/4c96cba3fcc6fb53331473f9e7f9c363.jpg;https://cdn.entero.ru/mp@2x/77/fb/77fb726b7836f8c9f560453fb4e7f6f4.jpg;https://cdn.entero.ru/mp@2x/b2/66/b2666b54aef08a8f0636840b5f89f684.jpg;https://cdn.entero.ru/mp@2x/66/c6/66c61dcc073c62a95c40b2e548b42ebc.jpg,Металлодетектор конвейерный METALLAR MDC-250 158531,158531,846321,RUB,Нет,,Профоборудование,Инспекционное,Металлодетекторы,https://entero.ru/item/366323,"<p>Металлодетектор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/366323"">METALLAR MDC-250 158531</a></b> предназначен для обнаружения частиц черных, цветных металлов и сплавов (латунь, медь, бронза, алюминий), нержавеющей стали в инспектируемой продовольственной или непродовольственной продукции. Модель позволяет предотвратить попадание металлических частиц в пищу и предотвратить травмы потребителей и повреждение оборудования. Корпус выполнен из нержавеющей стали, которая отличается прочностью и долговечностью, лента - из полиуретана (опционально модульная пластиковая).</p>

<p><b>Базовая комплектация:</b></p>

<ul>
<li>Металлодетектор конвейерный MDC с выбранным размером прохода, цифровой панелью управления, лентой конвейера без системы удаления продукта с конвейера (металлодетектор будет только останавливать конвейерную ленту с подачей звукового и светового сигнала), без регулировки скорости вращения ленты конвейера и без ящика для отбраковки</li>
<li>Набор пластико-металлических образцов для тестирования и настройки металлодетектора (Fe-черный металл, No-Fe-цветной металл, SUS-нержавеющая сталь)</li>
<li>Пластиковый плафон для световой индикации</li>
<li>Монтажный ключ для регулирования высоты металлодетектора</li>
<li>Ключ для открывания замков блока питания и управления</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Выявление наличия в продукте твердых частиц из магнитных и немагнитных металлов (черные, цветные, нержавеющая сталь, сплавы и др.)</li>
<li>Стабильность работы как при кратковременном использовании, так и при продолжительном</li>
<li>Возможность проверки работы с конкретным продуктом на тестовой площадке</li>
<li>Русифицированная цифровая панель управления (опционально сенсорная)</li>
<li>Простой понятный и удобный интерфейс</li>
<li>Автоматическая точная настройка детектора для различных видов проверяемой продукции</li>
<li>Возможность ручной корректировки автоматических настроек при необходимости</li>
<li>Изготовлен из нержавеющей стали с применением новейших технологий обработки металла</li>
<li>Простота обслуживания, устойчив к пыли и влаге</li>
<li>Питание от сети напряжением 220 В, позволит устанавливать металлодетектор в местах, не оборудованных трехфазным (380 В) напряжением</li>
<li>Поставляется с руководством по эксплуатации на русском языке</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость конвейерной ленты, м/мин: 27</li>
<li>Класс защиты: IP 65</li>
</ul>",366323,конвейерный,220 В,,,,,,,,0,,,,,Россия,,сенсорное,250 мм,сигнал и остановка,0.5 мм,1 мм,от 80 до 150 мм,220 мм,
https://cdn.entero.ru/mp@2x/23/c4/23c403e373b9406ec1926169632162f1.jpg,Металлодетектор Hualian IMD-IS-4025,Металлодетектор Hualian IMD-IS-4025,908776,RUB,Нет,Hualian,Профоборудование,Инспекционное,Металлодетекторы,https://entero.ru/item/355454,"<p>Металлодетектор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/355454"">Hualian IMD-IS-4025</a></b> используется на производстве для обнаружения металлических предметов в продуктах питания или сырье. Модель позволяет предотвратить попадание металлических частиц в пищу и предотвратить травмы потребителей и повреждение оборудования. Корпус выполнен из нержавеющей стали SUS 304, которая отличается прочностью и долговечностью, лента - из PU.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Работа с сырьем и с продукцией в упаковке без металла</li>
<li>Встраивание в технологические линии</li>
<li>Бесперебойная работа</li>
<li>Высокий уровень контроля</li>
<li>Подходит для сертификации товара</li>
<li>Применение в пищевой промышленности, фармацевтике, текстильной промышленности, производстве обуви и игрушек</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Память продукта: 52</li>
<li>Высота от пола: 850+100 мм</li>
<li>Чувствительность цветного металла: от 1,5 мм</li>
<li>Транспортер:
<ul>
<li>Длина: 1500 мм</li>
<li>Ширина: 360 мм</li>
<li>Скорость: 25 м/мин.</li>
</ul>
</li>
</ul>",355454,конвейерный,,,,,,316 кг,1,1050x1100x1410 мм,0,,,,Китай,Китай,316 кг,,400 мм,,от 1 до 1.2 мм,от 2 до 2.5 мм,250 мм,360 мм,
https://cdn.entero.ru/mp@2x/97/74/9774d9e91b886a2071b94b6584d955e0.jpg;https://cdn.entero.ru/mp@2x/09/b9/09b90b515184dee4a8f12ccfa1c23217.jpg;https://cdn.entero.ru/mp@2x/20/ba/20baf1ebf1ddcf7e6e18d58aad7e6357.jpg;https://cdn.entero.ru/mp@2x/45/49/4549d2d95d4347b604d6bb25d56d1fd4.jpg;https://cdn.entero.ru/mp@2x/ee/ae/eeae9008ab87b391ebe922f8381c18c1.jpg;https://cdn.entero.ru/mp@2x/8e/21/8e21a4846db47cabe6cfea33ed932da2.jpg,Металлодетектор конвейерный METALLAR MDC-400 158532,158532,927581,RUB,Нет,,Профоборудование,Инспекционное,Металлодетекторы,https://entero.ru/item/366305,"<p>Металлодетектор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/366305"">METALLAR MDC-400 158532</a></b> предназначен для обнаружения частиц черных, цветных металлов и сплавов (латунь, медь, бронза, алюминий), нержавеющей стали в инспектируемой продовольственной или непродовольственной продукции. Модель позволяет предотвратить попадание металлических частиц в пищу и предотвратить травмы потребителей и повреждение оборудования. Корпус выполнен из нержавеющей стали, которая отличается прочностью и долговечностью, лента - из полиуретана (опционально модульная пластиковая).</p>

<p><b>Базовая комплектация:</b></p>

<ul>
<li>Металлодетектор конвейерный MDC с выбранным размером прохода, цифровой панелью управления, лентой конвейера без системы удаления продукта с конвейера (металлодетектор будет только останавливать конвейерную ленту с подачей звукового и светового сигнала), без регулировки скорости вращения ленты конвейера и без ящика для отбраковки</li>
<li>Набор пластико-металлических образцов для тестирования и настройки металлодетектора (Fe-черный металл, No-Fe-цветной металл, SUS-нержавеющая сталь)</li>
<li>Пластиковый плафон для световой индикации</li>
<li>Монтажный ключ для регулирования высоты металлодетектора</li>
<li>Ключ для открывания замков блока питания и управления</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Выявление наличия в продукте твердых частиц из магнитных и немагнитных металлов (черные, цветные, нержавеющая сталь, сплавы и др.)</li>
<li>Стабильность работы как при кратковременном использовании, так и при продолжительном</li>
<li>Возможность проверки работы с конкретным продуктом на тестовой площадке</li>
<li>Русифицированная цифровая панель управления (опционально сенсорная)</li>
<li>Простой понятный и удобный интерфейс</li>
<li>Автоматическая точная настройка детектора для различных видов проверяемой продукции</li>
<li>Возможность ручной корректировки автоматических настроек при необходимости</li>
<li>Изготовлен из нержавеющей стали с применением новейших технологий обработки металла</li>
<li>Простота обслуживания, устойчив к пыли и влаге</li>
<li>Питание от сети напряжением 220 В, позволит устанавливать металлодетектор в местах, не оборудованных трехфазным (380 В) напряжением</li>
<li>Поставляется с руководством по эксплуатации на русском языке</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость конвейерной ленты, м/мин: 27</li>
<li>Класс защиты: IP 65</li>
</ul>",366305,конвейерный,220 В,,,,,,,,0,,,,,Россия,,сенсорное,400 мм,сигнал и остановка,0.5 мм,1.2 мм,от 80 до 200 мм,370 мм,
https://cdn.entero.ru/mp@2x/1a/82/1a827c09ef5dcc24349899f5e80f60a0.jpg;https://cdn.entero.ru/mp@2x/48/25/4825879f78b10b83d491c2ce8287d67b.jpg;https://cdn.entero.ru/mp@2x/9e/cd/9ecd9796010be0355bd0baa1c0484861.jpg;https://cdn.entero.ru/mp@2x/ef/60/ef60f4ab23ed0b72acc0657549c1094e.jpg;https://cdn.entero.ru/mp@2x/5c/93/5c9334273477a7f6b4499d1f21a90c2d.jpg;https://cdn.entero.ru/mp@2x/1f/67/1f672cbaaff59fe01def57932f7c2e8e.jpg;https://cdn.entero.ru/mp@2x/55/70/55707e0f5c42ffaefa3295744cf370c7.jpg,Металлодетектор конвейерный METALLAR MDC-500 158533,158533,1006761,RUB,Нет,,Профоборудование,Инспекционное,Металлодетекторы,https://entero.ru/item/366333,"<p>Металлодетектор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/366333"">METALLAR MDC-500 158533</a></b> предназначен для обнаружения частиц черных, цветных металлов и сплавов (латунь, медь, бронза, алюминий), нержавеющей стали в инспектируемой продовольственной или непродовольственной продукции. Модель позволяет предотвратить попадание металлических частиц в пищу и предотвратить травмы потребителей и повреждение оборудования. Корпус выполнен из нержавеющей стали, которая отличается прочностью и долговечностью, лента - из полиуретана (опционально модульная пластиковая).</p>

<p><b>Базовая комплектация:</b></p>

<ul>
<li>Металлодетектор конвейерный MDC с выбранным размером прохода, цифровой панелью управления, лентой конвейера без системы удаления продукта с конвейера (металлодетектор будет только останавливать конвейерную ленту с подачей звукового и светового сигнала), без регулировки скорости вращения ленты конвейера и без ящика для отбраковки</li>
<li>Набор пластико-металлических образцов для тестирования и настройки металлодетектора (Fe-черный металл, No-Fe-цветной металл, SUS-нержавеющая сталь)</li>
<li>Пластиковый плафон для световой индикации</li>
<li>Монтажный ключ для регулирования высоты металлодетектора</li>
<li>Ключ для открывания замков блока питания и управления</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Выявление наличия в продукте твердых частиц из магнитных и немагнитных металлов (черные, цветные, нержавеющая сталь, сплавы и др.)</li>
<li>Стабильность работы как при кратковременном использовании, так и при продолжительном</li>
<li>Возможность проверки работы с конкретным продуктом на тестовой площадке</li>
<li>Русифицированная цифровая панель управления (опционально сенсорная)</li>
<li>Простой понятный и удобный интерфейс</li>
<li>Автоматическая точная настройка детектора для различных видов проверяемой продукции</li>
<li>Возможность ручной корректировки автоматических настроек при необходимости</li>
<li>Изготовлен из нержавеющей стали с применением новейших технологий обработки металла</li>
<li>Простота обслуживания, устойчив к пыли и влаге</li>
<li>Питание от сети напряжением 220 В, позволит устанавливать металлодетектор в местах, не оборудованных трехфазным (380 В) напряжением</li>
<li>Поставляется с руководством по эксплуатации на русском языке</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость конвейерной ленты, м/мин: 27</li>
<li>Класс защиты: IP 65</li>
</ul>",366333,конвейерный,220 В,,,,,,,,0,,1071022,,,Россия,,сенсорное,500 мм,сигнал и остановка,0.7 мм,1.5 мм,от 80 до 250 мм,470 мм,
https://cdn.entero.ru/mp@2x/f4/e6/f4e6cdcfd7eadaa15dedb906519b3449.jpg,Металлодетектор Hualian IMD-I-L-80,Металлодетектор Hualian IMD-I-L-80,1105265,RUB,Нет,Hualian,Профоборудование,Инспекционное,Металлодетекторы,https://entero.ru/item/310134,"<p>Металлодетектор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/310134"">Hualian IMD-I-L-80</a></b> предназначен для контроля качества жидких и пастообразных продуктов в пищевом производстве. Модель встраивается непосредственно в трубопроводную систему. Труба выполнена из пищевого тефлона, повышая стойкость к высоким температурам и давлению.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Давление воздуха: 0,5 мПа</li>
<li>Рабочий диаметр: 63 мм</li>
<li>Рабочий диаметр трубы: 80 мм</li>
</ul>",310134,для пастообразных продуктов,220 В,,,,,,,,0,,1163437,,,Китай,,кнопочное,,автоматический,0.8 мм,2 мм,,,
