Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Температурный режим,Напряжение,Ширина,Глубина,Высота,Страна производства,Остаток,Файлы,Старая цена,Вес (без упаковки),Установка,Назначение,Стеклянные двери,Дверной упор
https://cdn.entero.ru/mp@2x/55/78/55784730c8c0d5e90407d2395df8e829.jpg,Шкаф для деликатесов Expo Cornice Gastronomia 85,CGN85VNA/CGN85V,180500,RUB,Да,Expo,Профоборудование,Холодильное,Шкафы для деликатесов и нейтральные модули,https://entero.ru/item/155026,"<p>Охлаждаемый шкаф для деликатесов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/155026"">EXPO Cornice Gastronomia 85</a> </b>создает оптимальные условия для сохранения всех вкусовых свойств разливного вина и различных продуктов. Модель оснащена раздвижными дверцами с замками и светодиодной подсветкой. Корпус выполнен из натурального дерева, дверь - из деревянной рамы и закаленного стекла, полки - из массива бука.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Алюминиевый охлаждающий элемент</li>
<li>Электронный терморегулятор</li>
<li>Варианты цвета на выбор: натуральный, вишня, венге, RAL9003, RAL9004</li>
<li>Автоматическая разморозка</li>
<li>Хладагент: R404A</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместительность: 48 бутылок</li>
<li>Потребляемая мощность: 0,23 кВт</li>
<li>Габариты в упаковке: 1000х800х1100 мм</li>
</ul>",155026,от 4 до 12 °C,220 В,850 мм,500 мм,930 мм,Италия,0,,,74 кг,отдельно стоящий,для пищевых продуктов,Да,
https://cdn.entero.ru/mp@2x/87/0b/870b747db996d612cf557e08cfe77ca0.jpg,Нейтральный модуль Expo PM-MA40,Нейтральный модуль Expo PM-MA40,0,RUB,Нет,Expo,Профоборудование,Холодильное,Шкафы для деликатесов и нейтральные модули,https://entero.ru/item/75762,"<p>Нейтральный шкаф <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/75762""><b class=""b"">Expo PM-MA40 </b></a>серии Parete Neutra - это часть инновационной модульной системы для сбора полностью функциональной витрины для демонстрации и хранения бокалов для вина и различной посуды.</p>

<p>Внешняя обшивка выполнена из твердой древесины, дверные рамы (20 мм) - из алюминия.</p>

<p>Версия модуля PM оснащена деревянной панелью, которая закрывает заднюю часть шкафа.</p>

<p>В комплект поставки входит универсальный ключ.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Распашная дверь</li>
<li>Замок</li>
<li>Светодиодные лампы естественного белого цвета</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото модель PC-MA40 со стеклянными дверями с обеих сторон.</span></em></p>

<p><em><span style=""color:#FF0000;"">Чтобы получить полноценную винную витрину Expo серии Parete, ее надо собрать из одного или нескольких модулей: винных, нейтральных, модулей для деликатесов, шоколада и пр., рам, боковых панелей или стендов. Также следует выбрать цвет для рам, покрытие матовым или глянцевым лаком, освещение (по умолчанию - естественного белого цвета, за отдельную плату - цветное освещение, которое настраивается с помощью пульта). Свяжитесь с нашими менеджерами - они помогут спроектировать полноценную модульную винную витрину и рассчитать ее итоговую стоимость.</span></em></p>",75762,,220 В,486 мм,510 мм,1898 мм,Италия,0,https://entero.ru/manuals/47162/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BC%D0%BE%D0%B4%D1%83%D0%BB%D1%8C%D0%BD%D1%8B%D1%85%20%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%20Expo.pdf,,55 кг,"встраиваемый, отдельно стоящий",нейтральный,Да,
https://cdn.entero.ru/mp@2x/96/af/96af65c66f1c0ce9e1f3b48ae4d36f5f.jpg;https://cdn.entero.ru/mp@2x/38/08/3808e030c28477c1390b572d1640d369.jpg;https://cdn.entero.ru/mp@2x/b4/9f/b49f6119be5c1a8e6f861319f5280671.jpg;https://cdn.entero.ru/mp@2x/58/9c/589cb7c89bb0e60fd6cbe7ff39868c86.jpg;https://cdn.entero.ru/mp@2x/06/41/064108e31e93c1e0bf1836bc5b909c2b.jpg;https://cdn.entero.ru/mp@2x/c6/ae/c6ae74accb0a3f0f4836356e4fc6f7b7.jpg;https://cdn.entero.ru/mp@2x/54/25/54252d54ecf169364dcc335a025902ae.jpg;https://cdn.entero.ru/mp@2x/1e/fb/1efb13e477cf9750726a536dd5bc4356.jpg,Модуль для пищевых продуктов Expo PC-GAR10,Модуль для пищевых продуктов Expo PC-GAR10,0,RUB,Нет,Expo,Профоборудование,Холодильное,Шкафы для деликатесов и нейтральные модули,https://entero.ru/item/71502,"<p>Модуль для пищевых продуктов <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/71502""><b class=""b"">Expo PC-GAR10</b></a> серии Parete Gastronomia - это часть инновационной модульной системы для сбора полностью функциональной витрины для демонстрации, подачи и хранения деликатесов. Модуль создает оптимальные условия для сохранения всех вкусовых свойств пищевых продуктов.</p>

<p>Модель оборудована инновационной системой охлаждения на основе установки охлаждающего элемента в центре витрины. Низкое энергопотребление достигается благодаря эксклюзивной системе энергосбережения, дверям с двойным остеклением и раздельным зонам, что позволяет открывать по необходимости только одну из дверей. Шкаф можно перевести в режим энергосбережения всего одним нажатием кнопки.</p>

<p>Версия модуля PC оснащена стеклянными дверями с обеих сторон, чтобы обеспечить максимальную видимость и доступ.</p>

<p>В комплект поставки входят универсальные ключи для каждой двери.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электронный термостат</li>
<li>Вентилируемое охлаждение</li>
<li>Автоматическая разморозка</li>
<li>Автоматическое испарение конденсата</li>
<li>Хладагент: R404a</li>
<li>Внутренние стенки и дверные рамы (20 мм) из алюминия</li>
<li>Внешняя обшивка из твердой древесины</li>
<li>Распашные двери открываются от внешних краев во внутрь</li>
<li>Замок на каждой двери</li>
<li>Светодиодные лампы естественного белого цвета</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество полок, включая дно: 8</li>
<li>Мощность: 0,36 кВт</li>
<li>Габариты в паллете: 1000х800х2070 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Чтобы получить полноценную винную витрину Expo серии Parete, ее надо собрать из одного или нескольких модулей: винных, нейтральных, модулей для деликатесов, шоколада и пр., рам, боковых панелей или стендов. Также следует выбрать цвет для рам, покрытие матовым или глянцевым лаком, освещение (по умолчанию - естественного белого цвета, за отдельную плату - цветное освещение, которое настраивается с помощью пульта). Свяжитесь с нашими менеджерами - они помогут спроектировать полноценную модульную винную витрину и рассчитать ее итоговую стоимость.</span></em></p>",71502,от 4 до 10 °C,220 В,900 мм,510 мм,1898 мм,Италия,0,https://entero.ru/manuals/39943/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BC%D0%BE%D0%B4%D1%83%D0%BB%D1%8C%D0%BD%D1%8B%D1%85%20%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%20Expo.pdf,,151 кг,отдельно стоящий,для пищевых продуктов,Да,
https://cdn.entero.ru/mp@2x/1d/41/1d41b5b5ffa44f276ae3da7684cf548e.jpg;https://cdn.entero.ru/mp@2x/c9/91/c99101d425f2d808496956766827c6a8.jpg;https://cdn.entero.ru/mp@2x/c2/e7/c2e7e30a4202f52d1e40ac472a0d0107.jpg;https://cdn.entero.ru/mp@2x/96/b1/96b14c0c369ad82265e8f8438fbb35e5.jpg;https://cdn.entero.ru/mp@2x/54/5a/545a8c6eea21b58c448495c148c125aa.jpg;https://cdn.entero.ru/mp@2x/ea/d2/ead2db4d9421bcd3440bca85fdd483b3.jpg;https://cdn.entero.ru/mp@2x/1c/f0/1cf0e38d3890545da27c08afc5ec3103.jpg;https://cdn.entero.ru/mp@2x/94/5b/945bcd8cc003ebabf58c38df9284f3b9.jpg,Модуль для колбас Expo PC-SAR10,Модуль для колбас Expo PC-SAR10,0,RUB,Нет,Expo,Профоборудование,Холодильное,Шкафы для деликатесов и нейтральные модули,https://entero.ru/item/72836,"<p>Модуль для колбас​ <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/72836""><b class=""b"">Expo PC-SAR10</b></a> серии Parete Salumeria - это часть инновационной модульной системы для сбора полностью функциональной витрины для демонстрации, подачи и хранения колбасных изделий. Модуль создает оптимальные условия для сохранения всех вкусовых свойств пищевых продуктов.</p>

<p>Модель оборудована инновационной системой охлаждения на основе установки охлаждающего элемента в центре витрины. Низкое энергопотребление достигается благодаря эксклюзивной системе энергосбережения, дверям с двойным остеклением и раздельным зонам, что позволяет открывать по необходимости только одну из дверей. Шкаф можно перевести в режим энергосбережения всего одним нажатием кнопки.</p>

<p>Версия модуля PC оснащена стеклянными дверями с обеих сторон, чтобы обеспечить максимальную видимость и доступ.</p>

<p>В комплект поставки входят универсальные ключи для каждой двери.</p>

<p>Конфигурация может быть изменена по индивидуальному заказу.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электронный термостат</li>
<li>Вентилируемое охлаждение</li>
<li>Автоматическая разморозка</li>
<li>Автоматическое испарение конденсата</li>
<li>Хладагент: R404a</li>
<li>Внутренние стенки и дверные рамы (20 мм) из алюминия</li>
<li>Внешняя обшивка из твердой древесины</li>
<li>Распашные двери открываются от внешних краев во внутрь</li>
<li>Замок на каждой двери</li>
<li>Светодиодные лампы естественного белого цвета</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество полок, включая дно: 5</li>
<li>Комплект для колбас: 4 шт.</li>
<li>Мощность: 0,36 кВт</li>
<li>Габариты в паллете: 1000х800х2070 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Дополнительный набор для салями <a href=""https://entero.ru/item/72855"">OPT-KS</a></li>
<li>Дополнительный стеклянный поддон с кронштейнами (салями) <a href=""https://entero.ru/item/72166"">OPT-PVAS</a></li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Чтобы получить полноценную винную витрину Expo серии Parete, ее надо собрать из одного или нескольких модулей: винных, нейтральных, модулей для деликатесов, шоколада и пр., рам, боковых панелей или стендов. Также следует выбрать цвет для рам, покрытие матовым или глянцевым лаком, освещение (по умолчанию - естественного белого цвета, за отдельную плату - цветное освещение, которое настраивается с помощью пульта). Свяжитесь с нашими менеджерами - они помогут спроектировать полноценную модульную винную витрину и рассчитать ее итоговую стоимость.</span></em></p>",72836,от 4 до 18 °C,220 В,900 мм,510 мм,1898 мм,Италия,0,https://entero.ru/manuals/42061/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BC%D0%BE%D0%B4%D1%83%D0%BB%D1%8C%D0%BD%D1%8B%D1%85%20%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%20Expo.pdf,,144 кг,отдельно стоящий,для колбас,Да,
https://cdn.entero.ru/mp@2x/8e/5e/8e5ef16b20fee2a6fcc19a53e17b971d.jpg;https://cdn.entero.ru/mp@2x/90/63/9063bdabf5e04bfcee311ec82d48e500.jpg,Нейтральная витрина RoboLabs ВН-04С,Нейтральная витрина RoboLabs ВН-04С,0,RUB,Нет,RoboLabs,Профоборудование,Холодильное,Шкафы для деликатесов и нейтральные модули,https://entero.ru/item/261160,"<p>Нейтральная витрина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/261160""><b class=""b"">RoboLabs ВН-04С</b></a> предназначена для демонстрации конфет, мармелада и орехов на предприятиях общественного питания и торговли. Модель оснащена 4 полками и подсветкой.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность: 0,05 кВт</li>
<li>Габариты в упаковке: 350x560x60 мм</li>
</ul>",261160,,220 В,330 мм,260 мм,550 мм,Россия,0,,,,отдельно стоящий,нейтральный,,
https://cdn.entero.ru/mp@2x/a3/ca/a3ca9204b44af27584e4565c6c9d0d27.jpg;https://cdn.entero.ru/mp@2x/69/79/6979ac963938578ec59c54a83bd0b59a.jpg;https://cdn.entero.ru/mp@2x/09/b5/09b5587b8ecc30cdc679accdc550a258.jpg,"Модуль для пищевых продуктов Expo CNN573-L цвета RAL9003, RAL9004, M3","Модуль для пищевых продуктов Expo CNN573-L цвета RAL9003, RAL9004, M3",0,RUB,Нет,Expo,Профоборудование,Холодильное,Шкафы для деликатесов и нейтральные модули,https://entero.ru/item/72406,"<p>Модуль для пищевых продуктов <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/72406""><b class=""b"">Expo CNN573-L</b></a> серии Cornice 57 - это функциональная витрина для демонстрации, подачи и хранения пиццы, булочек, закусок, десертов, фруктов и готовых блюд. Модуль создает оптимальные условия для сохранения всех вкусовых свойств пищевых продуктов.</p>

<p>Модель может быть оснащена подогреваемыми или охлаждаемыми полками (заказываются отдельно).</p>

<p><b>Особенности:</b></p>

<ul>
<li>Алюминиевая панель</li>
<li>Деревянная рама</li>
<li>Кромки и верх из закаленного стекла</li>
<li>Стеклянные двери</li>
<li>LED-освещение естественного белого цвета</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество полок, включая дно: 3</li>
<li>Мощность: 0,004 кВт</li>
<li>Габариты в упаковке: 700х410х700 мм</li>
<li>Габариты в паллете: 800x600x840 мм</li>
<li>Вес с паллетой: 27 кг</li>
</ul>

<p><b>Цвет рамы:</b></p>

<ul>
<li>RAL9003 - Мутно-белый</li>
<li>RAL9004 - Черный</li>
<li>M3 - Венге (МДФ)</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Подогреваемая полка <a href=""https://entero.ru/item/72335"">CN60PRS</a></li>
<li>Охлаждаемая полка <a href=""https://entero.ru/item/72336"">CN60PRF</a></li>
<li>Аккумулятор холода <a href=""https://entero.ru/item/72332"">ETN23</a></li>
<li>Фиксатор дверцы цвета ""никель"" <a href=""https://entero.ru/item/71729"">F015</a></li>
<li>Фиксатор дверцы цвета ""золото"" <a href=""https://entero.ru/item/71730"">F020</a></li>
<li>10 резиновых держателей для этикеток <a href=""https://entero.ru/item/71731"">KPG01</a></li>
</ul>",72406,,220 В,575 мм,340 мм,610 мм,Италия,0,https://entero.ru/manuals/41265/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BC%D0%BE%D0%B4%D1%83%D0%BB%D1%8C%D0%BD%D1%8B%D1%85%20%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%20Expo.pdf,,19 кг,отдельно стоящий,"для пищевых продуктов, нейтральный",Да,
https://cdn.entero.ru/mp@2x/e1/e7/e1e7e80cb3e3373ac7610f7b1d10092e.jpg;https://cdn.entero.ru/mp@2x/7e/1b/7e1bd16764bcb37d6c97ada94fc8bde0.jpg,"Модуль для пищевых продуктов Expo CNE58 цвета RAL9003, RAL9004","Модуль для пищевых продуктов Expo CNE58 цвета RAL9003, RAL9004",0,RUB,Нет,Expo,Профоборудование,Холодильное,Шкафы для деликатесов и нейтральные модули,https://entero.ru/item/72326,"<p>Модуль для пищевых продуктов <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/72326""><b class=""b"">Expo CNE58 </b></a>серии Espositori con Piastre Eutettiche - это функциональная витрина для демонстрации, подачи и хранения закусок, десертов, фруктов и готовых блюд. Модуль создает оптимальные условия для сохранения всех вкусовых свойств пищевых продуктов.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Эвтектическая панель</li>
<li>Алюминиевая панель</li>
<li>Изолированный бак</li>
<li>Корпус из оргстекла</li>
<li>Деревянная рама</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество эвтектических панелей: 1</li>
<li>Поддержание температуры в разное время:
<ul>
<li>1 час: -4,2 °C</li>
<li>2 часа: -2,8 °C</li>
<li>3 часа: -1,9 °C</li>
<li>4 часа: -1 °C</li>
<li>5 часов: 0 °C</li>
</ul>
</li>
<li>Габариты в паллете: 800х600х390 мм</li>
</ul>

<p><b>Цвет рамы:</b></p>

<ul>
<li>RAL9003 - Мутно-белый</li>
<li>RAL9004 - Черный</li>
</ul>",72326,"от -4,2 до 0 °C",,580 мм,365 мм,220 мм,Италия,0,https://entero.ru/manuals/41184/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BC%D0%BE%D0%B4%D1%83%D0%BB%D1%8C%D0%BD%D1%8B%D1%85%20%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%20Expo.pdf,,7 кг,отдельно стоящий,для пищевых продуктов,Да,
https://cdn.entero.ru/mp@2x/df/85/df85a6c01c6e3a9f77922f955493e899.jpg;https://cdn.entero.ru/mp@2x/dd/bb/ddbb75caaee23363938eca3baa52a5ba.jpg;https://cdn.entero.ru/mp@2x/9e/73/9e73f6bc9e98af545b1e97ec454a3720.jpg;https://cdn.entero.ru/mp@2x/59/10/5910d9f4f3ea7bc9c5e75d66f5aa002f.jpg,Модуль для пищевых продуктов Expo CNE58 цвета RAL20,Модуль для пищевых продуктов Expo CNE58 цвета RAL20,0,RUB,Нет,Expo,Профоборудование,Холодильное,Шкафы для деликатесов и нейтральные модули,https://entero.ru/item/72330,"<p>Модуль для пищевых продуктов <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/72330""><b class=""b"">Expo CNE58 </b></a>серии Espositori con Piastre Eutettiche - это функциональная витрина для демонстрации, подачи и хранения закусок, десертов, фруктов и готовых блюд. Модуль создает оптимальные условия для сохранения всех вкусовых свойств пищевых продуктов.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Эвтектическая панель</li>
<li>Алюминиевая панель</li>
<li>Изолированный бак</li>
<li>Корпус из оргстекла</li>
<li>Деревянная рама</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество эвтектических панелей: 1</li>
<li>Поддержание температуры в разное время:
<ul>
<li>1 час: -4,2 °C</li>
<li>2 часа: -2,8 °C</li>
<li>3 часа: -1,9 °C</li>
<li>4 часа: -1 °C</li>
<li>5 часов: 0 °C</li>
</ul>
</li>
<li>Габариты в паллете: 800х600х390 мм</li>
</ul>

<p><b>Цвет рамы:</b></p>

<ul>
<li>65 цветов RAL с матовым лакированным покрытием RAL20</li>
</ul>",72330,"от -4,2 до 0 °C",,580 мм,365 мм,220 мм,Италия,0,https://entero.ru/manuals/41188/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BC%D0%BE%D0%B4%D1%83%D0%BB%D1%8C%D0%BD%D1%8B%D1%85%20%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%20Expo.pdf,,7 кг,отдельно стоящий,для пищевых продуктов,Да,
https://cdn.entero.ru/mp@2x/a5/7a/a57a59da0384fecca536af454f8fe74e.jpg;https://cdn.entero.ru/mp@2x/34/2e/342e3cc9780b94b2f9ebf3df01d2d70e.jpg;https://cdn.entero.ru/mp@2x/e6/94/e6942d1fee55406ad051a6835c9e9465.jpg;https://cdn.entero.ru/mp@2x/3b/e9/3be9aa83182413a41701efb77da9ac86.jpg,Модуль для пищевых продуктов Expo CNE87 цвета RAL20,Модуль для пищевых продуктов Expo CNE87 цвета RAL20,0,RUB,Нет,Expo,Профоборудование,Холодильное,Шкафы для деликатесов и нейтральные модули,https://entero.ru/item/72331,"<p>Модуль для пищевых продуктов <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/72331""><b class=""b"">Expo CNE87 </b></a>серии Espositori con Piastre Eutettiche - это функциональная витрина для демонстрации, подачи и хранения закусок, десертов, фруктов и готовых блюд. Модуль создает оптимальные условия для сохранения всех вкусовых свойств пищевых продуктов.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Эвтектическая панель</li>
<li>Алюминиевая панель</li>
<li>Изолированный бак</li>
<li>Корпус из оргстекла</li>
<li>Деревянная рама</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество эвтектических панелей: 3</li>
<li>Поддержание температуры в разное время:
<ul>
<li>1 час: -4,2 °C</li>
<li>2 часа: -2,8 °C</li>
<li>3 часа: -1,9 °C</li>
<li>4 часа: -1 °C</li>
<li>5 часов: 0 °C</li>
</ul>
</li>
<li>Габариты в паллете: 1000х800х600 мм</li>
</ul>

<p><b>Цвет рамы:</b></p>

<ul>
<li>65 цветов RAL с матовым лакированным покрытием RAL20</li>
</ul>",72331,"от -4,2 до 0 °C",,870 мм,525 мм,250 мм,Италия,0,https://entero.ru/manuals/41189/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BC%D0%BE%D0%B4%D1%83%D0%BB%D1%8C%D0%BD%D1%8B%D1%85%20%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%20Expo.pdf,,17 кг,отдельно стоящий,для пищевых продуктов,Да,
https://cdn.entero.ru/mp@2x/1d/57/1d571888b105e5bc9eda675f902714c2.jpg;https://cdn.entero.ru/mp@2x/b4/fd/b4fdba0448c4d1b3f0203c1e5fae3d96.jpg,"Модуль для пищевых продуктов Expo CN60S цвета RAL9003, RAL9004, M3","Модуль для пищевых продуктов Expo CN60S цвета RAL9003, RAL9004, M3",0,RUB,Нет,Expo,Профоборудование,Холодильное,Шкафы для деликатесов и нейтральные модули,https://entero.ru/item/72334,"<p>Модуль для пищевых продуктов <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/72334""><b class=""b"">Expo CN60S</b></a> серии Cornice Colonna - это функциональная витрина для демонстрации, подачи и хранения пиццы, булочек, закусок, десертов, фруктов и готовых блюд. Модуль создает оптимальные условия для сохранения всех вкусовых свойств пищевых продуктов.</p>

<p>Модель может быть оснащена подогреваемыми или охлаждаемыми полками (заказываются отдельно).</p>

<p>Версия модуля S оснащена деревянной панелью, которая закрывает заднюю часть шкафа.</p>

<p>В комплект поставки входят ключи для каждой двери.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Деревянная рама</li>
<li>Кромки и верх из закаленного стекла</li>
<li>Замок на каждой двери</li>
<li>Светодиодные лампы естественного белого цвета</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество полок, включая дно: 7</li>
<li>Мощность: 0,016 кВт</li>
<li>Габариты в паллете: 800x600x1920 мм</li>
<li>Вес с паллетой: 58 кг</li>
</ul>

<p><b>Цвет рамы:</b></p>

<ul>
<li>RAL9003 - Мутно-белый</li>
<li>RAL9004 - Черный</li>
<li>M3 - Венге (МДФ)</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Подогреваемая полка <a href=""https://entero.ru/item/72335"">CN60PRS</a></li>
<li>Охлаждаемая полка <a href=""https://entero.ru/item/72336"">CN60PRF</a></li>
<li>Аккумулятор холода <a href=""https://entero.ru/item/72332"">ETN23</a></li>
<li>Фиксатор дверцы цвета ""никель"" <a href=""https://entero.ru/item/71729"">F015</a></li>
<li>Фиксатор дверцы цвета ""золото"" <a href=""https://entero.ru/item/71730"">F020</a></li>
<li>10 резиновых держателей для этикеток <a href=""https://entero.ru/item/71731"">KPG01</a></li>
</ul>",72334,,220 В,585 мм,360 мм,1725 мм,Италия,0,https://entero.ru/manuals/41191/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BC%D0%BE%D0%B4%D1%83%D0%BB%D1%8C%D0%BD%D1%8B%D1%85%20%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%20Expo.pdf,,48 кг,отдельно стоящий,"для пищевых продуктов, нейтральный",Да,
