Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Вес (с упаковкой),Управление,Цвет,Общий объем,Количество скоростей,Импульсный режим,Материал корпуса,Количество кувшинов,Скорость (макс.),Материал кувшина,Объем одного кувшина,Измельчитель льда,Звукопоглощающий кожух,Турборежим
https://cdn.entero.ru/mp@2x/be/9c/be9c3867fd5a5eab1bdc58283bf2a249.jpg,"Блендер Vitamix Drink Machine Advance (058665-AFBB) тритан, красный",07011671/ 058665 barboss,143766,RUB,Да,Vitamix,Профоборудование,Электромеханическое,Блендеры,https://entero.ru/item/132290,"<p>Блендер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/132290""><b class=""b"">Vitamix Drink Machine Advance 058665-AFBB </b></a>предназначен для измельчения и смешивания замороженных и свежих овощей и фруктов, порошковых смесей и любых твёрдых ингредиентов в барах, кафе и ресторанах с большой проходимостью посетителей. Кувшин выполнен из тритана.</p>

<p><b>Особенности:</b></p>

<ul>
<li>6 оптимизированных программ</li>
<li>Мерная градация на стакане</li>
<li>Возможность персонального программирования</li>
<li>Режим автоматического отключения</li>
<li>Двигатель усовершенствованной конструкции</li>
</ul>",132290,барный,220 В,0.85 кВт,229 мм,203 мм,457 мм,5.9 кг,США,1,329x302x557 мм,0,https://entero.ru/manuals/490474/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Vitamix%20Drink%20Machine%20Advance%20%28058665-AFBB%29.pdf,156267,https://vk.com/video_ext.php?oid=-177656185&id=456239113&hd=2&autoplay=0,5.53 кг,,,электромеханическое,красный,1.4 л,2,Да,,1,22500 об/мин.,тритан,,,,
https://cdn.entero.ru/mp@2x/2e/d5/2ed520d15014eef90f7e2f83054300ac.jpg,Блендер Hurakan HKN-BLW2 серый,Блендер Hurakan HKN-BLW2 серый,6447,RUB,Да,Hurakan,Профоборудование,Электромеханическое,Блендеры,https://entero.ru/item/60548,"<p>Блендер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/60548""><b class=""b"">Hurakan HKN-BLW2</b></a> предназначен для смешивания всевозможных ингредиентов для коктейлей, супов-пюре, кремов и муссов на предприятиях общественного питания и торговли.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость: от 23000 до 26000 об/мин.</li>
<li>Габариты в упаковке: 430х580х660 мм</li>
</ul>",60548,кухонный,220 В,1.2 кВт,205 мм,230 мм,510 мм,4.2 кг,Китай,1,430x580x660 мм,668,https://entero.ru/manuals/65878/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-BLW2.pdf;https://entero.ru/manuals/415417/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-BLW2.pdf;https://entero.ru/manuals/415418/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-BLW2.pdf;https://entero.ru/manuals/415419/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/415420/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,,,3.5 кг,,,электромеханическое,,2 л,плавная регулировка,Да,пластик,1,26000 об/мин.,пластик,2 л,,,
https://cdn.entero.ru/mp@2x/6c/a3/6ca3d7e25e9c798ffe255ce1fd5a1c46.jpg;https://cdn.entero.ru/mp@2x/72/50/72508317815b0b4e9fe6a303c9ce38f2.jpg;https://cdn.entero.ru/mp@2x/ce/c8/cec8d068dfb94371b6f8cd74a8a97b33.jpg;https://cdn.entero.ru/mp@2x/b8/84/b88474104a97671121bcbcd2fab317a9.jpg;https://cdn.entero.ru/mp@2x/6a/e9/6ae9fd8470a4cbbc4c86de69e158b6cb.jpg;https://cdn.entero.ru/mp@2x/94/2b/942bc1ec6c789a9f2e28e17960a45967.jpg,Блендер Kocateq TQ8000PRO,34812,19106,RUB,Да,Kocateq,Профоборудование,Электромеханическое,Блендеры,https://entero.ru/item/331966,"<p>Блендер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/331966"">Kocateq TQ8000PRO</a></b> предназначен для измельчения льда, приготовления замороженных коктейлей, смузи и маргариты, взбивания напитков и муссов на предприятиях общественного питания и торговли. Модель оснащена сенсорной панелью управления с дисплеем с яркой голубой подсветкой. Корпус выполнен из пластика серого цвета, нож из коррозионностойкой инструментальной стали, стакан - из поликарбоната, чехол - из поликаробната, крышка из силикона, ножки - из резины.</p>

<p><b>Особенности:</b></p>

<ul>
<li>6 программ для быстрого запуска</li>
<li>Возможность создания собственных программ с разными стадиями времени и скорости</li>
<li>Ступени установки скорости: SP1-4000 об/мин, SP2-7000 об/мин, SP3-10000 об/мин, SP4-13000 об/мин, SP5-17000 об/мин, SP6-20000 об/мин, SP7-23000 об/мин, SP8-26000 об/мин, SP9-30000 об/мин</li>
<li>Во время смешивания дисплей показывает номер цикла, номер рабочей скорости и время до окончания цикла</li>
<li>Достаточно одного касания, чтобы барный блендер выполнил цикл с переходами на разные скорости вращения ножа и автоматически выключился</li>
<li>Крыловидные ножи из нержавеющей стали повышенной твердости Aisi 420 для интенсивного использования</li>
<li>Звукопоглощающий акриловый кожух эффективно подавляет шумы во время смешивания</li>
<li>Электронная защита от перегрева и перегрузки двигателя</li>
<li>Уровень шума не громче уровня обычного разговора</li>
</ul>",331966,универсальный,220 В,2.2 кВт,240 мм,250 мм,475 мм,,Ю. Корея,,,0,https://entero.ru/manuals/392966/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Kocateq.pdf;https://entero.ru/manuals/392968/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/407419/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kocateq%20TQ8000PRO.pdf,,,,,,механическое,черный,1.5 л,плавная регулировка,Да,,1,от 4000 до 30000 об/мин.,пластик,1.8 л,Да,Да,
https://cdn.entero.ru/mp@2x/57/e8/57e830f2380d1f765ebc1f5fbc546c2d.jpg,Блендер JAU BL-1500,Блендер JAU BL-1500,5721,RUB,Да,JAU,Профоборудование,Электромеханическое,Блендеры,https://entero.ru/item/32630,"<p>Блендер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/32630"">JAU BL-1500</a></b> предназначен для взбивания соусов, муссов, фруктовых, молочных или алкогольных коктейлей со льдом, для перемешивания и измельчения фруктов и овощей на предприятиях общественного питания и торговли. Модель оснащена высокоскоростным мотором и системой безопасности, при которой пуск происходит только при установленном стакане. Нож выполнен из нержавеющей стали, крышка - из пластика.</p>",32630,универсальный,220 В,1.5 кВт,200 мм,223 мм,500 мм,5.6 кг,Китай,1,365x255x285 мм,0,https://entero.ru/manuals/359626/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/414168/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20JAU%20BL-1500.pdf,6357,,3.98 кг,,,механическое,"бежевый, золотой",2 л,плавная регулировка,Да,пластик,1,30000 об/мин.,пластик,2 л,Да,,
https://cdn.entero.ru/mp@2x/74/25/742537523927bdd050aaaf71b0b6f6aa.jpg;https://cdn.entero.ru/mp@2x/ed/ee/edee7213e27c77a66031d3ca782c1649.jpg;https://cdn.entero.ru/mp@2x/00/0c/000cb2a030e7d7209d36c31ca5214b0e.jpg;https://cdn.entero.ru/mp@2x/47/dc/47dc65d4189ae3b86109f21f1bbe2b59.jpg;https://cdn.entero.ru/mp@2x/00/cd/00cdfb56b14e4e14e882899e32ae04ff.jpg;https://cdn.entero.ru/mp@2x/4e/3a/4e3a884eafee947ba7328c9f7afe17fa.jpg;https://cdn.entero.ru/mp@2x/da/0b/da0be470b65a80096a90231bcf2b8de8.jpg,Блендер Hamilton Beach HBB908R,HBB908R-CE 180765,23332,RUB,Да,Hamilton Beach,Профоборудование,Электромеханическое,Блендеры,https://entero.ru/item/161552,"<p>Блендер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/161552"">Hamilton Beach HBB908R</a> </b>предназначен для взбивания соусов, муссов, фруктовых, молочных или алкогольных коктейлей со льдом, для перемешивания и измельчения фруктов и овощей в кафе, ресторанах, на предприятиях фаст-фуда и в домашних условиях. С помощью этой модели коктейль ""Маргарита"" (0,5 л) можно приготовить за 25 секунд. Контейнер выполнен из поликарбоната, нож - из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Wave-Action™ для перемещения смеси вниз для более качественного измельчения</li>
<li>Мощный мотор с резиновой муфтой</li>
<li>Нож с 4 лезвиями</li>
<li>Датчик открытия крышки обеспечивает смешивание напитков только с закрытой крышкой</li>
<li>Тумблер для переключения скоростей и включения / выключения</li>
<li>Ножки для надежной фиксации блендера на столе</li>
</ul>",161552,барный,220 В,0.746 кВт,205 мм,195 мм,400 мм,4 кг,США,1,275x245x455 мм,0,https://entero.ru/manuals/188639/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Hamilton%20Beach%20HBB908R.pdf;https://entero.ru/manuals/188637/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Hamilton%20Beach%202020.pdf;https://entero.ru/manuals/470921/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hamilton%20Beach%20HBB908R.pdf,,,3.68 кг,,,механическое,,1.25 л,2,,пластик,1,,пластик,1.25 л,,,
https://cdn.entero.ru/mp@2x/9b/9d/9b9dbf1e898a85cf15029cf5c53a2587.jpg;https://cdn.entero.ru/mp@2x/04/6e/046e7753c9eaed6a7111a58153b59fa7.jpg;https://cdn.entero.ru/mp@2x/e4/b9/e4b9d6dab5188a262efae8ce3989a86e.jpg;https://cdn.entero.ru/mp@2x/a5/80/a580b78c45f35d9502aa14348d6f2a50.jpg,Блендер Hamilton Beach HBH455-CE,180768,57780,RUB,Да,Hamilton Beach,Профоборудование,Электромеханическое,Блендеры,https://entero.ru/item/148073,"<p>Блендер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/148073"">Hamilton Beach HBH455-CE</a> </b>предназначен для взбивания соусов, муссов, фруктовых, молочных или алкогольных коктейлей со льдом, для перемешивания и измельчения фруктов и овощей в кафе, ресторанах, на предприятиях фаст-фуда и в домашних условиях. Модель оснащена датчиком установки стакана. Контейнер выполнен из поликарбоната, нож - из титанового сплава.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Крышка с датчиком закрытия и мерным колпачком</li>
<li>Таймер для точного смешивания с блокировкой и автоматическим отключением</li>
<li>Легкая замена сцепления</li>
<li>Обновленная форма стакана Wave-Action </li>
<li>Ножки для надежной фиксации блендера на столе</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность двигателя: 2,4 л. с.</li>
<li>Уровень шума: 84 Дб </li>
</ul>",148073,универсальный,220 В,1.79 кВт,195 мм,205 мм,400 мм,6 кг,США,1,260x305x390 мм,16,https://entero.ru/manuals/175160/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Hamilton%20Beach%20HBH455-CE.pdf,62804,,5.75 кг,,,механическое,,1.4 л,2,Да,пластик,1,,пластик,,Да,,
https://cdn.entero.ru/mp@2x/99/fb/99fb24b1f61ef1123906ae5e5188c8b2.jpg,Блендер JAU HBH-550,Блендер JAU HBH-550,23226,RUB,Да,JAU,Профоборудование,Электромеханическое,Блендеры,https://entero.ru/item/83210,"<p>Блендер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/83210"">JAU HBH-550</a></b> предназначен для взбивания соусов, муссов, фруктовых, молочных или алкогольных коктейлей со льдом, для перемешивания и измельчения фруктов и овощей на предприятиях общественного питания и торговли. Модель оснащена высокоскоростным мотором и системой безопасности, при которой пуск происходит только при установленном стакане. Нож выполнен из нержавеющей стали, крышка - из пластика.</p>",83210,кухонный,220 В,2.3 кВт,180 мм,200 мм,460 мм,5.5 кг,Китай,1,400x255x470 мм,0,https://entero.ru/manuals/359625/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,24974,,4.3 кг,,,механическое,черный,1.8 л,плавная регулировка,Да,пластик,1,38000 об/мин.,пластик,1.8 л,Да,,
https://cdn.entero.ru/mp@2x/7f/0d/7f0da845e96ddedc44481a79d4c76573.jpg;https://cdn.entero.ru/mp@2x/33/d8/33d87be41b4baa4c009bcbd1021e7b87.jpg,Блендер Hurakan HKN-HBH850,Блендер Hurakan HKN-HBH850,18893,RUB,Да,Hurakan,Профоборудование,Электромеханическое,Блендеры,https://entero.ru/item/83141,"<p>Блендер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/83141""><b class=""b"">Hurakan HKN-HBH850</b></a> предназначен для смешивания всевозможных ингредиентов для коктейлей, супов-пюре, кремов и муссов на предприятиях общественного питания и торговли. Модель оснащена таймером и защитой от перегрева. Звукопоглощающие кожух и пластиковый экран позволяет снизить уровень шума при работе оборудования. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 200х220х500 мм</li>
</ul>",83141,барный,220 В,1.8 кВт,200 мм,220 мм,500 мм,8 кг,Китай,1,200x220x500 мм,89,https://entero.ru/manuals/57525/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-HBH850.doc;https://entero.ru/manuals/415339/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-HBH850.pdf;https://entero.ru/manuals/415340/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/415341/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,20099,,7.3 кг,Китай,,электромеханическое,"красный, черный",2.7 л,плавная регулировка,Да,пластик,1,28000 об/мин.,пластик,2.7 л,,Да,
https://cdn.entero.ru/mp@2x/6a/b6/6ab6781f5783b62079ecff5c9b8951e1.jpg;https://cdn.entero.ru/mp@2x/d9/44/d944983d2786c2b111a19d067dd8dd51.jpg;https://cdn.entero.ru/mp@2x/8f/28/8f282d127e8bbe26528f5c51b6d56b65.jpg;https://cdn.entero.ru/mp@2x/24/e2/24e20926dd47c49ecf37e15d6071e198.jpg;https://cdn.entero.ru/mp@2x/fd/7c/fd7c7c8612a27472391d5afe1a620dd0.jpg;https://cdn.entero.ru/mp@2x/ba/63/ba633eddfa7f933fb61fe85f9b1f8b4a.jpg;https://cdn.entero.ru/mp@2x/bd/60/bd6071d8583f64b0caa41cfd2c5c3988.jpg,Блендер Hamilton Beach HBB255S-CE,HBB255S-CE 180767,40950,RUB,Да,Hamilton Beach,Профоборудование,Электромеханическое,Блендеры,https://entero.ru/item/161597,"<p>Блендер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/161597"">Hamilton Beach HBB255S-CE</a> </b>предназначен для взбивания соусов, муссов, фруктовых, молочных или алкогольных коктейлей со льдом, для перемешивания и измельчения фруктов и овощей в кафе, ресторанах, на предприятиях фаст-фуда и в домашних условиях. С помощью этой модели коктейль ""Маргарита"" (0,5 л) можно приготовить за 20 секунд. Контейнер и нож выполнены из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Wave-Action™ для перемещения смеси вниз для более качественного измельчения</li>
<li>Датчик открытия крышки обеспечивает смешивание напитков только с закрытой крышкой</li>
<li>Датчик установки стакана предотвращают смешивание с неправильно установленной чашей </li>
<li>Крышка с тройным уплотнителем</li>
<li>Увеличенная производительность</li>
<li>Прочное металлическое соединение чаши и базы блендера</li>
<li>Защитный элемент для предотвращения попадания капель на панель</li>
<li>Тумблер для переключения скоростей и включения / выключения</li>
<li>Ножки для надежной фиксации блендера на столе</li>
</ul>",161597,барный,220 В,1.194 кВт,190 мм,216 мм,410 мм,5.5 кг,США,1,230x310x395 мм,22,https://entero.ru/manuals/188704/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Hamilton%20Beach%20HBB255S.pdf;https://entero.ru/manuals/518194/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,44032,,4.7 кг,,,механическое,,0.95 л,2,Да,пластик,1,,металл,0.95 л,Да,,
https://cdn.entero.ru/mp@2x/ec/8e/ec8e6eb178aa54774d127d79120ef1fb.jpg,Блендер GASTRORAG B-012AJ,eqv00027358,6579,RUB,Да,GASTRORAG,Профоборудование,Электромеханическое,Блендеры,https://entero.ru/item/126761,"<p>Блендер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/126761"">GASTRORAG B-012AJ</a></b> предназначен для взбивания соусов, муссов, фруктовых, молочных или алкогольных коктейлей со льдом, для перемешивания и измельчения фруктов и овощей на предприятиях общественного питания и торговли. Модель оснащена толкателем и мерным колпачком. Нож с 6 лезвиями выполнен из нержавеющей стали.</p>",126761,универсальный,220 В,1.39 кВт,295 мм,310 мм,430 мм,,Китай,,,0,https://entero.ru/manuals/286882/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20GASTRORAG%20B-012AJ.pdf,,,5 кг,,,электромеханическое,,2 л,плавная регулировка,Да,пластик,1,35000 об/мин.,пластик,2 л,,,
