Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Колеса,Максимальная нагрузка,Поддон для сбора жидкости,Нижняя обвязка,Количество боковин
https://cdn.entero.ru/mp@2x/ae/86/ae86b8fa7d00bc971caf2516b8fb3d1a.jpg;https://cdn.entero.ru/mp@2x/d9/e1/d9e1f6ab0af4764f047ee7315196c989.jpg;https://cdn.entero.ru/mp@2x/da/7b/da7bd8a36b4db284912517e54f2ee603.jpg;https://cdn.entero.ru/mp@2x/77/26/77263bc00f3216ef5e74bccf06556f2a.jpg;https://cdn.entero.ru/mp@2x/49/c2/49c21c1c495d84ecf94d4885f4a30cc3.jpg,Вешало для туш Restoinox ВТС-2-12/6-ПК,Вешало для туш Restoinox ВТС-2-12/6-ПК,31782,RUB,Нет,Restoinox,Профоборудование,Нейтральное,Вешала для туш,https://entero.ru/item/150914,"<p>Вешало для туш <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/150914"">Restoinox ВТС-2-12/6-ПК</a> </b>предназначено для подвешивания, транспортировки и безопасного длительного хранения мясных туш и полутуш на предприятиях общественного питания и торговли. Модель оснащена поддоном и 4 колесами, которые могут быть заменены на регулируемые по высоте ножки. Сварной каркас выполнен из трубы 40х40 мм нержавеющей стали AISI 430, поддон - из нержавеющей стали AISI 430.</p>

<p><b class=""o"">Крюки в комплект поставки не входят и приобретаются отдельно.</b></p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали:
<ul>
<li>Ножки: 1,5 мм</li>
<li>Поддон: 1 мм </li>
</ul>
</li>
<li>Диаметр колес: 100 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>S-образный крюк <a href=""https://entero.ru/item/150915"">Restoinox ВТС-2</a></li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",150914,600 мм,1200 мм,2000 мм,28 кг,1,610x1210x2010 мм,0,https://entero.ru/manuals/509354/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,33811,,,Россия,Да,200 кг,Да,,
https://cdn.entero.ru/mp@2x/3c/81/3c819972a4ed98bde7b1b920d2af1487.jpg,Вешало для мяса KAYMAN СМ-112/1808,161150,40362,RUB,Нет,KAYMAN,Профоборудование,Нейтральное,Вешала для туш,https://entero.ru/item/116231,"<p>Вешало для мяса <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/116231"">KAYMAN СМ-112/1808</a></b> используется на предприятиях общественного питания и торговли для подвешивания, транспортировки и безопасного длительного хранения мясных туш и полутуш. Сварной каркас выполнен из трубы 40х40 мм из нержавеющей стали AISI 304.</p>

<p><b class=""o"">Крюки в комплект поставки не входят и приобретаются отдельно.</b></p>

<p><b>Характеристики:</b></p>

<ul>
<li>Количество секций: 4</li>
<li>Максимальная нагрузка: 250 кг на п/м</li>
<li>Габариты в упаковке: 1800х1005х805 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Крюк для мяса <a href=""https://entero.ru/item/371703"">AISI 304</a></li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",116231,800 мм,1000 мм,1750 мм,45 кг,1,805x1005x1800 мм,0,https://entero.ru/manuals/496892/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20KAYMAN.pdf,42938,45 кг,,Россия,,,,Да,
https://cdn.entero.ru/mp@2x/76/70/76702d00ed6d0a10b7a5bc0abe3cc1f6.jpg,Вешало для туш Mecon Profi Inox ВДДп 1500х800х1800 мм,ВДД-PIn15080180,19982,RUB,Нет,,Профоборудование,Нейтральное,Вешала для туш,https://entero.ru/item/348153,"<p>Вешало <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/348153""><b class=""b"">Mecon Profi Inox ВДДп</b></a> предназначено для дефростации мясных туш и полутуш на предприятиях общественного питания. Модель состоит из боковин, нижнего основания, узла подвесов, крюков и нижней рамкой для установки поддона. Разборный каркас и крюки выполнены из нержавеющей стали, узел подвеса - из круглой нержавеющей трубы, ножки - из профильной трубы.</p>

<p>В комплект поставки входят 5 S-образных крюка.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Сечение профиля трубы ножек: 40х40 мм</li>
<li>Объем упаковки: 0,36 м³</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Вспомогательный <a href=""https://entero.ru/search.php?text=%D0%9A%D1%80%D1%8E%D0%BA+%D0%B4%D0%BB%D1%8F+%D0%B2%D0%B5%D1%88%D0%B0%D0%BB%D0%B0+Mecon"">крюк</a></li>
<li>Дефростационный <a href=""https://entero.ru/search.php?text=%D0%9B%D0%BE%D1%82%D0%BE%D0%BA+Mecon+%D0%92%D0%94%D0%94%D0%BF+1500%D1%85800"">лоток</a></li>
<li><a href=""https://entero.ru/item/348177"">Колеса</a></li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера с 4 крюками.</span></em></p>",348153,1500 мм,800 мм,1800 мм,,,,0,https://entero.ru/manuals/428753/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Mecon%20Profi%20Ral%20%D0%92%D0%94%D0%94%D0%BF.pdf;https://entero.ru/manuals/428754/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Mecon%20Profi%20Ral%20%D0%92%D0%94%D0%94%D0%BF.pdf;https://entero.ru/manuals/428755/%D0%A0%D0%B5%D0%BA%D0%BE%D0%BC%D0%B5%D0%BD%D0%B4%D0%B0%D1%86%D0%B8%D0%B8%20%D0%BF%D0%BE%20%D1%83%D1%85%D0%BE%D0%B4%D1%83.pdf,,,Россия,Россия,,,,,2
https://cdn.entero.ru/mp@2x/7c/5a/7c5ad512114f2aebfd9c3f126a8bcd83.jpg;https://cdn.entero.ru/mp@2x/20/36/2036697dca5f72aab6562c73125448ae.jpg;https://cdn.entero.ru/mp@2x/42/5f/425f0e81c8ef4771903379f1d7a6d966.jpg;https://cdn.entero.ru/mp@2x/6c/59/6c59784ee2b2adbe08f49d7cf52eb469.jpg;https://cdn.entero.ru/mp@2x/aa/ff/aafff66cdc688441e4c644501a906993.jpg,Вешало для туш Restoinox ВТС-2-18/8-ПК,Вешало для туш Restoinox ВТС-2-18/8-ПК,43597,RUB,Нет,Restoinox,Профоборудование,Нейтральное,Вешала для туш,https://entero.ru/item/150918,"<p>Вешало для туш <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/150918"">Restoinox ВТС-2-18/8-ПК</a> </b>предназначено для подвешивания, транспортировки и безопасного длительного хранения мясных туш и полутуш на предприятиях общественного питания и торговли. Модель оснащена поддоном и 4 колесами, которые могут быть заменены на регулируемые по высоте ножки. Сварной каркас выполнен из трубы 40х40 мм нержавеющей стали AISI 430, поддон - из нержавеющей стали AISI 430.</p>

<p><b class=""o"">Крюки в комплект поставки не входят и приобретаются отдельно.</b></p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали:
<ul>
<li>Ножки: 1,5 мм</li>
<li>Поддон: 1 мм </li>
</ul>
</li>
<li>Диаметр колес: 100 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>S-образный крюк <a href=""https://entero.ru/item/150915"">Restoinox ВТС-2</a></li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",150918,800 мм,1800 мм,2000 мм,37 кг,1,810x1810x2010 мм,0,https://entero.ru/manuals/509359/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,45414,,,Россия,Да,,Да,,
https://cdn.entero.ru/mp@2x/11/03/1103e267f21e7fad2178c2ffeca98e6b.jpg;https://cdn.entero.ru/mp@2x/73/29/7329797318bf568823c7ba17a90b98ec.jpg,Вешало для мясных туш Gastrolux ВТ-127/1,1-секц. 1200х700х1800,69236,RUB,Нет,Gastrolux,Профоборудование,Нейтральное,Вешала для туш,https://entero.ru/item/110215,"<p>Вешало для мясных туш <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/110215"">Gastrolux ВТ-127/1</a></b> предназначено для подвешивания, транспортировки и безопасного длительного хранения мясных туш и полутуш на предприятиях общественного питания. Модель оснащена колесами повышенной грузоподъемности европейского производства. Сварной каркас выполнен из труб из нержавеющей стали AISI 430 диаметром 50 мм.</p>

<p>В комплект поставки входят крюки для туш.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Количество секций: 1</li>
<li>Количество крюков: 5</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li><a href=""https://entero.ru/item/110218"">Крюк для туш одинарный</a></li>
<li><a href=""https://entero.ru/item/110219"">Поддон со сливом 1200х700 мм</a></li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера с установленным поддоном.</span></em></p>",110215,1200 мм,700 мм,1800 мм,,,,0,https://entero.ru/manuals/490943/%D0%98%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D0%BE%D0%B5%20%D0%BF%D0%B8%D1%81%D1%8C%D0%BC%D0%BE.pdf,,39 кг,,Россия,Да,,,,
https://cdn.entero.ru/mp@2x/d3/b1/d3b1addf3e63d50a80585b5adc1f3e5a.jpg,Вешало для туш Mecon Profi Ral ВДДп 1000х600х1800 мм,ВДД-PR10060180,11197,RUB,Нет,,Профоборудование,Нейтральное,Вешала для туш,https://entero.ru/item/348130,"<p>Вешало <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/348130""><b class=""b"">Mecon Profi Ral ВДДп</b></a> предназначено для дефростации мясных туш и полутуш на предприятиях общественного питания. Модель состоит из боковин, нижнего основания, узла подвесов, крюков и нижней рамкой для установки поддона. Разборный каркас выполнен из стали с полимерно-порошковым покрытием, узел подвеса - из круглой нержавеющей трубы, ножки - из профильной трубы, крюки - из оцинкованной стали.</p>

<p>В комплект поставки входят 3 S-образных крюка.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Сечение профиля трубы ножек: 40х40 мм</li>
<li>Объем упаковки: 0,27 м³</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Вспомогательный <a href=""https://entero.ru/search.php?text=%D0%9A%D1%80%D1%8E%D0%BA+%D0%B4%D0%BB%D1%8F+%D0%B2%D0%B5%D1%88%D0%B0%D0%BB%D0%B0+Mecon"">крюк</a></li>
<li>Дефростационный <a href=""https://entero.ru/item/348157"">лоток</a></li>
<li><a href=""https://entero.ru/item/348177"">Колеса</a></li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера с 4 крюками.</span></em></p>",348130,1000 мм,600 мм,1800 мм,,,,0,https://entero.ru/manuals/428691/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Mecon%20Profi%20Ral%20%D0%92%D0%94%D0%94%D0%BF.pdf;https://entero.ru/manuals/428692/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Mecon%20Profi%20Ral%20%D0%92%D0%94%D0%94%D0%BF.pdf;https://entero.ru/manuals/428693/%D0%A0%D0%B5%D0%BA%D0%BE%D0%BC%D0%B5%D0%BD%D0%B4%D0%B0%D1%86%D0%B8%D0%B8%20%D0%BF%D0%BE%20%D1%83%D1%85%D0%BE%D0%B4%D1%83.pdf,,,Россия,Россия,,,,,2
https://cdn.entero.ru/mp@2x/c3/1c/c31cd1a9be8ee3519dabde3cde7ca8bd.jpg,Вешало для туш Mecon Profi Ral ВДДп 1000х800х1800 мм,ВДД-PR10080180,11715,RUB,Нет,,Профоборудование,Нейтральное,Вешала для туш,https://entero.ru/item/348141,"<p>Вешало <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/348141""><b class=""b"">Mecon Profi Ral ВДДп</b></a> предназначено для дефростации мясных туш и полутуш на предприятиях общественного питания. Модель состоит из боковин, нижнего основания, узла подвесов, крюков и нижней рамкой для установки поддона. Разборный каркас выполнен из стали с полимерно-порошковым покрытием, узел подвеса - из круглой нержавеющей трубы, ножки - из профильной трубы, крюки - из оцинкованной стали.</p>

<p>В комплект поставки входят 3 S-образных крюка.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Сечение профиля трубы ножек: 40х40 мм</li>
<li>Объем упаковки: 0,34 м³</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Вспомогательный <a href=""https://entero.ru/search.php?text=%D0%9A%D1%80%D1%8E%D0%BA+%D0%B4%D0%BB%D1%8F+%D0%B2%D0%B5%D1%88%D0%B0%D0%BB%D0%B0+Mecon"">крюк</a></li>
<li>Дефростационный <a href=""https://entero.ru/item/348163"">лоток</a></li>
<li><a href=""https://entero.ru/item/348177"">Колеса</a></li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера с 4 крюками.</span></em></p>",348141,1000 мм,800 мм,1800 мм,,,,0,https://entero.ru/manuals/428705/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Mecon%20Profi%20Ral%20%D0%92%D0%94%D0%94%D0%BF.pdf;https://entero.ru/manuals/428706/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Mecon%20Profi%20Ral%20%D0%92%D0%94%D0%94%D0%BF.pdf;https://entero.ru/manuals/428707/%D0%A0%D0%B5%D0%BA%D0%BE%D0%BC%D0%B5%D0%BD%D0%B4%D0%B0%D1%86%D0%B8%D0%B8%20%D0%BF%D0%BE%20%D1%83%D1%85%D0%BE%D0%B4%D1%83.pdf,12734,,Россия,Россия,,,,,2
https://cdn.entero.ru/mp@2x/eb/8a/eb8a30414b963570c880aefc4b8f27d7.jpg,Вешало для туш Mecon Profi Ral ВДДп 1200х600х1800 мм,ВДД-PR12060180,11803,RUB,Нет,,Профоборудование,Нейтральное,Вешала для туш,https://entero.ru/item/348142,"<p>Вешало <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/348142""><b class=""b"">Mecon Profi Ral ВДДп</b></a> предназначено для дефростации мясных туш и полутуш на предприятиях общественного питания. Модель состоит из боковин, нижнего основания, узла подвесов, крюков и нижней рамкой для установки поддона. Разборный каркас выполнен из стали с полимерно-порошковым покрытием, узел подвеса - из круглой нержавеющей трубы, ножки - из профильной трубы, крюки - из оцинкованной стали.</p>

<p>В комплект поставки входят 4 S-образных крюка.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Сечение профиля трубы ножек: 40х40 мм</li>
<li>Объем упаковки: 0,28 м³</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Вспомогательный <a href=""https://entero.ru/search.php?text=%D0%9A%D1%80%D1%8E%D0%BA+%D0%B4%D0%BB%D1%8F+%D0%B2%D0%B5%D1%88%D0%B0%D0%BB%D0%B0+Mecon"">крюк</a></li>
<li>Дефростационный <a href=""https://entero.ru/search.php?text=%D0%9B%D0%BE%D1%82%D0%BE%D0%BA+Mecon+%D0%92%D0%94%D0%94%D0%BF+1200%D1%85600"">лоток</a></li>
<li><a href=""https://entero.ru/item/348177"">Колеса</a></li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",348142,1200 мм,600 мм,1800 мм,,,,0,https://entero.ru/manuals/428708/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Mecon%20Profi%20Ral%20%D0%92%D0%94%D0%94%D0%BF.pdf;https://entero.ru/manuals/428709/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Mecon%20Profi%20Ral%20%D0%92%D0%94%D0%94%D0%BF.pdf;https://entero.ru/manuals/428710/%D0%A0%D0%B5%D0%BA%D0%BE%D0%BC%D0%B5%D0%BD%D0%B4%D0%B0%D1%86%D0%B8%D0%B8%20%D0%BF%D0%BE%20%D1%83%D1%85%D0%BE%D0%B4%D1%83.pdf,12556,,Россия,Россия,,,,,2
https://cdn.entero.ru/mp@2x/28/fb/28fb5af0b884c41c4bbae85b20ecd8ae.jpg,Вешало для туш Mecon Profi Ral ВДДп 1200х800х1800 мм,ВДД-PR12080180,12311,RUB,Нет,,Профоборудование,Нейтральное,Вешала для туш,https://entero.ru/item/348143,"<p>Вешало <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/348143""><b class=""b"">Mecon Profi Ral ВДДп </b></a>предназначено для дефростации мясных туш и полутуш на предприятиях общественного питания. Модель состоит из боковин, нижнего основания, узла подвесов, крюков и нижней рамкой для установки поддона. Разборный каркас выполнен из стали с полимерно-порошковым покрытием, узел подвеса - из круглой нержавеющей трубы, ножки - из профильной трубы, крюки - из оцинкованной стали.</p>

<p>В комплект поставки входят 4 S-образных крюка.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Сечение профиля трубы ножек: 40х40 мм</li>
<li>Объем упаковки: 0,35 м³</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Вспомогательный <a href=""https://entero.ru/search.php?text=%D0%9A%D1%80%D1%8E%D0%BA+%D0%B4%D0%BB%D1%8F+%D0%B2%D0%B5%D1%88%D0%B0%D0%BB%D0%B0+Mecon"">крюк</a></li>
<li>Дефростационный <a href=""https://entero.ru/search.php?text=%D0%9B%D0%BE%D1%82%D0%BE%D0%BA+Mecon+%D0%92%D0%94%D0%94%D0%BF+1200%D1%85800"">лоток</a></li>
<li><a href=""https://entero.ru/item/348177"">Колеса</a></li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",348143,1200 мм,800 мм,1800 мм,,,,0,https://entero.ru/manuals/428713/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Mecon%20Profi%20Ral%20%D0%92%D0%94%D0%94%D0%BF.pdf;https://entero.ru/manuals/428714/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Mecon%20Profi%20Ral%20%D0%92%D0%94%D0%94%D0%BF.pdf;https://entero.ru/manuals/428715/%D0%A0%D0%B5%D0%BA%D0%BE%D0%BC%D0%B5%D0%BD%D0%B4%D0%B0%D1%86%D0%B8%D0%B8%20%D0%BF%D0%BE%20%D1%83%D1%85%D0%BE%D0%B4%D1%83.pdf,12959,,Россия,Россия,,,,,2
https://cdn.entero.ru/mp@2x/db/97/db9703019e75e6df3dfd1c8f469b5805.jpg,Вешало для туш Mecon Profi Ral ВДДп 1500х600х1800 мм,ВДД-PR15060180,12906,RUB,Нет,,Профоборудование,Нейтральное,Вешала для туш,https://entero.ru/item/348144,"<p>Вешало <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/348144""><b class=""b"">Mecon Profi Ral ВДДп</b></a> предназначено для дефростации мясных туш и полутуш на предприятиях общественного питания. Модель состоит из боковин, нижнего основания, узла подвесов, крюков и нижней рамкой для установки поддона. Разборный каркас выполнен из стали с полимерно-порошковым покрытием, узел подвеса - из круглой нержавеющей трубы, ножки - из профильной трубы, крюки - из оцинкованной стали.</p>

<p>В комплект поставки входят 5 S-образных крюков.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Сечение профиля трубы ножек: 40х40 мм</li>
<li>Объем упаковки: 0,29 м³</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Вспомогательный <a href=""https://entero.ru/search.php?text=%D0%9A%D1%80%D1%8E%D0%BA+%D0%B4%D0%BB%D1%8F+%D0%B2%D0%B5%D1%88%D0%B0%D0%BB%D0%B0+Mecon"">крюк</a></li>
<li>Дефростационный <a href=""https://entero.ru/search.php?text=%D0%9B%D0%BE%D1%82%D0%BE%D0%BA+Mecon+%D0%92%D0%94%D0%94%D0%BF+1500%D1%85600"">лоток</a></li>
<li><a href=""https://entero.ru/item/348177"">Колеса</a></li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера с 4 крюками.</span></em></p>",348144,1500 мм,600 мм,1800 мм,,,,0,https://entero.ru/manuals/428716/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Mecon%20Profi%20Ral%20%D0%92%D0%94%D0%94%D0%BF.pdf;https://entero.ru/manuals/428717/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Mecon%20Profi%20Ral%20%D0%92%D0%94%D0%94%D0%BF.pdf;https://entero.ru/manuals/428718/%D0%A0%D0%B5%D0%BA%D0%BE%D0%BC%D0%B5%D0%BD%D0%B4%D0%B0%D1%86%D0%B8%D0%B8%20%D0%BF%D0%BE%20%D1%83%D1%85%D0%BE%D0%B4%D1%83.pdf,13877,,Россия,Россия,,,,,2
