Изображения,Название,Артикул,Цена,Валюта,Наличие,Категория,Подкатегория,URL,Описание,Код товара,Ширина,Глубина,Высота,Страна производства,Остаток,Файлы,Старая цена,Вес (без упаковки),Тип печати,Количество чашек,Максимальная высота стакана
https://cdn.entero.ru/mp@2x/d4/fc/d4fc3d3689ac7b095a6ce03b653bb949.jpg,Кофе-принтер Evebot Fantasia Pro черный,EB-FT6 - 2,228127,RUB,Да,Кофеварки и кофемашины,Кофе-принтеры,https://entero.ru/item/184476,"<p>Кофе-принтер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/184476""><b class=""b"">Evebot Fantasia Pro </b></a>предназначен для печати любых изображений, текста и фото поверх слоя пены кофейных напитков, молочных коктейлей, пива и на поверхности десертов в кофейнях, кафе, ресторанах и других предприятиях общественного питания и торговли. Модель оснащена интегрированным в корппус планшетом на платформе Аndroid. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Печать рисунков высокого разрешения</li>
<li>Картридж FancyBox Pro </li>
<li>Увеличенная скорость печати </li>
<li>Программное обеспечение c интуитивно понятным интерфейсом</li>
<li>Фотографии и картинки загружаются с любого мобильного устройства подключенного к интернету</li>
<li>Съедобные чернила, используемые для печати, не влияют на вкус или запах напитка</li>
<li>Сертификация пищевой безопасности в SGS </li>
<li>Компактный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость печати: от 7 до 15 сек. </li>
<li>Разрешение печати: 600 dpi</li>
<li>​Ресурс картриджа: от 800 до 1000 изображений</li>
<li>Диаметр чашки: от 40 до 100 мм </li>
<li>Габариты в упаковке: 460х400х560 мм </li>
</ul>",184476,340 мм,270 мм,410 мм,Китай,0,,,,монохромный,1,от 50 до 180 мм
https://cdn.entero.ru/mp@2x/ee/12/ee1238ae9665a68c582d7b15df174097.jpg,Кофе-принтер Evebot Fantasia Pro серебристый,EB-FT6 - 1,0,RUB,Нет,Кофеварки и кофемашины,Кофе-принтеры,https://entero.ru/item/184478,"<p>Кофе-принтер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/184478""><b class=""b"">Evebot Fantasia Pro </b></a>предназначен для печати любых изображений, текста и фото поверх слоя пены кофейных напитков, молочных коктейлей, пива и на поверхности десертов в кофейнях, кафе, ресторанах и других предприятиях общественного питания и торговли. Модель оснащена интегрированным в корппус планшетом на платформе Аndroid. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Печать рисунков высокого разрешения</li>
<li>Картридж FancyBox Pro </li>
<li>Увеличенная скорость печати </li>
<li>Программное обеспечение c интуитивно понятным интерфейсом</li>
<li>Фотографии и картинки загружаются с любого мобильного устройства подключенного к интернету</li>
<li>Съедобные чернила, используемые для печати, не влияют на вкус или запах напитка</li>
<li>Сертификация пищевой безопасности в SGS </li>
<li>Компактный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость печати: от 7 до 15 сек. </li>
<li>Разрешение печати: 600 dpi</li>
<li>​Ресурс картриджа: от 800 до 1000 изображений</li>
<li>Диаметр чашки: от 40 до 100 мм </li>
<li>Габариты в упаковке: 460х400х560 мм </li>
</ul>",184478,340 мм,270 мм,410 мм,Россия,0,,,,монохромный,1,от 50 до 180 мм
https://cdn.entero.ru/mp@2x/5f/44/5f441547d2bd00bfd08f841695fc340e.jpg,Кофе-принтер Evebot Fantasia Mini серебристый,EB-FTM-1,0,RUB,Нет,Кофеварки и кофемашины,Кофе-принтеры,https://entero.ru/item/184480,"<p>Компактный кофе-принтер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/184480""><b class=""b"">Evebot Fantasia Mini </b></a>предназначен для печати любых изображений, текста и фото поверх слоя пены кофейных напитков, молочных коктейлей, пива и на поверхности десертов в кофейнях, кафе, ресторанах и других предприятиях общественного питания и торговли. Модель оснащена интегрированным в корппус планшетом на платформе Аndroid. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Печать рисунков высокого разрешения </li>
<li>Картридж FancyBox Standart</li>
<li>Программное обеспечение c интуитивно понятным интерфейсом</li>
<li>Фотографии и картинки загружаются с любого мобильного устройства подключенного к интернету</li>
<li>Съедобные чернила, используемые для печати, не влияют на вкус или запах напитка</li>
<li>Сертификация пищевой безопасности в SGS </li>
<li>Компактный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость печати: от 10 до 40 сек.</li>
<li>Разрешение печати: 200 dpi</li>
<li>​Ресурс картриджа: от 800 до 1000 изображений</li>
<li>Диаметр чашки: от 40 до 100 мм </li>
<li>Габариты в упаковке: 320х400х600 мм </li>
</ul>",184480,330 мм,190 мм,440 мм,Россия,0,,,,монохромный,1,240 мм
https://cdn.entero.ru/mp@2x/10/39/1039aeff1a55cf6d0b2a5413251d5013.jpg,Кофе-принтер Evebot Fantasia Standart серебристый,EB-FT4 - 1,0,RUB,Нет,Кофеварки и кофемашины,Кофе-принтеры,https://entero.ru/item/184472,"<p>Кофе-принтер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/184472""><b class=""b"">Evebot Fantasia Standart</b></a> предназначен для печати любых изображений, текста и фото поверх слоя пены кофейных напитков, молочных коктейлей, пива и на поверхности десертов в кофейнях, кафе, ресторанах и других предприятиях общественного питания и торговли. Модель оснащена интегрированным в корппус планшетом на платформе Аndroid. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Печать рисунков высокого разрешения </li>
<li>Картридж FancyBox Standart</li>
<li>Программное обеспечение c интуитивно понятным интерфейсом</li>
<li>Фотографии и картинки загружаются с любого мобильного устройства подключенного к интернету</li>
<li>Съедобные чернила, используемые для печати, не влияют на вкус или запах напитка</li>
<li>Сертификация пищевой безопасности в SGS </li>
<li>Компактный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость печати: от 10 до 40 сек.</li>
<li>Разрешение печати: 200 dpi</li>
<li>​Ресурс картриджа: от 800 до 1000 изображений</li>
<li>Диаметр чашки: от 40 до 100 мм </li>
<li>Габариты в упаковке: 460х400х560 мм </li>
</ul>",184472,340 мм,270 мм,410 мм,Россия,0,,,,монохромный,1,от 50 до 180 мм
https://cdn.entero.ru/mp@2x/5b/03/5b032b0fce6b94d089483acafac22de2.jpg,Кофе-принтер Evebot Fantasia Color серебристый,EB-FTC - 1,0,RUB,Нет,Кофеварки и кофемашины,Кофе-принтеры,https://entero.ru/item/184474,"<p>Кофе-принтер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/184474""><b class=""b"">Evebot Fantasia Color</b></a> предназначен для печати любых изображений, текста и фото поверх слоя пены кофейных напитков, молочных коктейлей, пива и на поверхности десертов в кофейнях, кафе, ресторанах и других предприятиях общественного питания и торговли. Модель оснащена интегрированным в корппус планшетом на платформе Аndroid. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Печать цветных рисунков высокого разрешения</li>
<li>Картридж FancyBox Color </li>
<li>Программное обеспечение c интуитивно понятным интерфейсом</li>
<li>Фотографии и картинки загружаются с любого мобильного устройства подключенного к интернету</li>
<li>Съедобные чернила, используемые для печати, не влияют на вкус или запах напитка</li>
<li>Сертификация пищевой безопасности в SGS </li>
<li>Компактный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость печати: от 10 до 40 сек</li>
<li>Разрешение печати: 200 dpi</li>
<li>​Ресурс картриджа: от 800 до 1000 изображений</li>
<li>Диаметр чашки: от 40 до 100 мм </li>
<li>Габариты в упаковке: 460х400х560 мм </li>
</ul>",184474,340 мм,270 мм,410 мм,Россия,0,,,,цветной,1,от 50 до 180 мм
https://cdn.entero.ru/mp@2x/a9/03/a903460e547694b224fd4b0f4449ec57.jpg;https://cdn.entero.ru/mp@2x/36/db/36db370bc227db1fa7f101daa908c757.jpg;https://cdn.entero.ru/mp@2x/24/e1/24e1d968d0796b19177641c0bdf3d418.jpg;https://cdn.entero.ru/mp@2x/64/0f/640fd7009bcd2be847918d4089fc0312.jpg;https://cdn.entero.ru/mp@2x/74/b1/74b11099ef7a6d4666ac3266b6c919cc.jpg;https://cdn.entero.ru/mp@2x/d4/da/d4da27c2250022a99a8bc4c8e54d1b37.jpg;https://cdn.entero.ru/mp@2x/c1/b7/c1b71d31b1522be06c00380814151991.jpg;https://cdn.entero.ru/mp@2x/67/e4/67e43ca1f875ecfd5f183f6a881aad46.jpg;https://cdn.entero.ru/mp@2x/37/55/3755d22b7833134c90242755170c2cc2.jpg;https://cdn.entero.ru/mp@2x/a5/29/a529d3ebdeba3ab41540475e1ba27971.jpg,Кофе-принтер CinoArt Pro,Кофе-принтер CinoArt Pro,126560,RUB,Нет,Кофеварки и кофемашины,Кофе-принтеры,https://entero.ru/item/144059,"<p>Кофе-принтер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/144059"">CinoArt Pro</a></b> премиум-класса предназначен для печати любых изображений, текста и фото поверх слоя пены кофейных напитков, молочных коктейлей, пива и на поверхности десертов в кофейнях, кафе, ресторанах и других предприятиях общественного питания и торговли. Рама выполнена из металла. </p>

<p>В комплект поставки входит 1 картридж, который способен напечатать 1200 изображений и высококачественная камера для моментальных фото.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Надёжная печать</li>
<li>Современная система подачи чернил</li>
<li>Работа со смартфона</li>
<li>Возможность печати на мороженном</li>
<li>Съедобные чернила, которые полностью безопасны и безвредны для организма</li>
<li>Поворотный экран</li>
<li>Загрузка изображения путем сканирования QR-кода</li>
<li>Вся продукция сертифицирована </li>
<li>Бесплатное программное обеспечение </li>
<li>Капсула заполнена компонентами, сертифицированными SGS </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость печати: 15 сек</li>
<li>Разрешение печати: 600 dpi</li>
<li>Диаметр чашки: до 110 мм </li>
<li>Диапазон регулировки экрана: от 0 до 80<sup>о</sup>​</li>
</ul>",144059,270 мм,340 мм,410 мм,Россия,0,https://entero.ru/manuals/169347/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CinoArt%20Pro.pdf;https://entero.ru/manuals/169384/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20CinoArt%20Pro.jpg;https://entero.ru/manuals/169348/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%81%D1%82%D0%B2%D0%B8%D1%8F.jpg,133221,10 кг,монохромный,1,от 50 до 180 мм
https://cdn.entero.ru/mp@2x/21/e2/21e2a40a04efd6e05d9dea948ea27731.jpg,Кофе-принтер Evebot Fantasia Standart черный,EB-FT4 - 1,234974,RUB,Нет,Кофеварки и кофемашины,Кофе-принтеры,https://entero.ru/item/184468,"<p>Кофе-принтер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/184468""><b class=""b"">Evebot Fantasia Standart</b></a> предназначен для печати любых изображений, текста и фото поверх слоя пены кофейных напитков, молочных коктейлей, пива и на поверхности десертов в кофейнях, кафе, ресторанах и других предприятиях общественного питания и торговли. Модель оснащена интегрированным в корппус планшетом на платформе Аndroid. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Печать рисунков высокого разрешения </li>
<li>Картридж FancyBox Standart</li>
<li>Программное обеспечение c интуитивно понятным интерфейсом</li>
<li>Фотографии и картинки загружаются с любого мобильного устройства подключенного к интернету</li>
<li>Съедобные чернила, используемые для печати, не влияют на вкус или запах напитка</li>
<li>Сертификация пищевой безопасности в SGS </li>
<li>Компактный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость печати: от 10 до 40 сек.</li>
<li>Разрешение печати: 200 dpi</li>
<li>​Ресурс картриджа: от 800 до 1000 изображений</li>
<li>Диаметр чашки: от 40 до 100 мм </li>
<li>Габариты в упаковке: 460х400х560 мм </li>
</ul>",184468,340 мм,270 мм,410 мм,Россия,0,,244765,,монохромный,1,от 50 до 180 мм
https://cdn.entero.ru/mp@2x/72/08/7208fc7204c84c038e5569048a6a6801.jpg;https://cdn.entero.ru/mp@2x/bd/56/bd56c16129e64f31fc1ce9cbec6cce63.jpg;https://cdn.entero.ru/mp@2x/eb/5b/eb5bbef524fae99def6861f32b25875c.jpg;https://cdn.entero.ru/mp@2x/68/9a/689a72bff360c34456f767339fdf530d.jpg,Кофе-принтер ФотоКофе на 4 чашки цветной,Кофе-принтер ФотоКофе на 4 чашки цветной,123170,RUB,Нет,Кофеварки и кофемашины,Кофе-принтеры,https://entero.ru/item/144096,"<p>Кофе-принтер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/144096""><b class=""b"">ФотоКофе</b></a> премиум-класса предназначен для печати любых изображений, текста и фото поверх слоя пены кофейных напитков, молочных коктейлей, пива и на поверхности десертов в кофейнях, кафе, ресторанах и других предприятиях общественного питания и торговли. Корпус выполнен из металла.</p>

<p>В комплект поставки входит планшет Android с установленным ПО, комплект картриджей и пищевых чернил на 3000 чашек и большая эксклюзивная коллекция картинок. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Надёжная печать</li>
<li>Современная система подачи чернил</li>
<li>Удобный доступ к картриджам </li>
<li>Планшет Android с установленным ПО на русском языке</li>
<li>Съедобные чернила, которые полностью безопасны и безвредны для организма</li>
<li>Загрузка изображения путем сканирования QR-кода</li>
<li>Практичный темный низ принтера</li>
<li>Крепкие ножки </li>
<li>Вся продукция сертифицирована </li>
<li>Бесплатное программное обеспечение </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость печати на 4 кружках: 40 сек. </li>
<li>Разрешение печати: 600 dpi</li>
<li>Диаметр одной чашки: до 110 мм ​</li>
</ul>",144096,,,,Россия,0,,133880,,цветной,4,от 50 до 180 мм
https://cdn.entero.ru/mp@2x/10/86/1086d58808a2a8501a721f4462b8348c.jpg,Кофе-принтер Evebot Fantasia Color черный,EB-FTC - 2,234974,RUB,Нет,Кофеварки и кофемашины,Кофе-принтеры,https://entero.ru/item/184473,"<p>Кофе-принтер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/184473""><b class=""b"">Evebot Fantasia Color</b></a> предназначен для печати любых изображений, текста и фото поверх слоя пены кофейных напитков, молочных коктейлей, пива и на поверхности десертов в кофейнях, кафе, ресторанах и других предприятиях общественного питания и торговли. Модель оснащена интегрированным в корппус планшетом на платформе Аndroid. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Печать цветных рисунков высокого разрешения</li>
<li>Картридж FancyBox Color </li>
<li>Программное обеспечение c интуитивно понятным интерфейсом</li>
<li>Фотографии и картинки загружаются с любого мобильного устройства подключенного к интернету</li>
<li>Съедобные чернила, используемые для печати, не влияют на вкус или запах напитка</li>
<li>Сертификация пищевой безопасности в SGS </li>
<li>Компактный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость печати: от 10 до 40 сек</li>
<li>Разрешение печати: 200 dpi</li>
<li>​Ресурс картриджа: от 800 до 1000 изображений</li>
<li>Диаметр чашки: от 40 до 100 мм </li>
<li>Габариты в упаковке: 460х400х560 мм </li>
</ul>",184473,340 мм,270 мм,410 мм,Россия,0,,,,цветной,1,от 50 до 180 мм
https://cdn.entero.ru/mp@2x/e6/44/e6442356946cc3885c83e199b979789a.jpg,Кофе-принтер Evebot Fantasia Mini черный,EB-FTM-2,234974,RUB,Нет,Кофеварки и кофемашины,Кофе-принтеры,https://entero.ru/item/184479,"<p>Компактный кофе-принтер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/184479""><b class=""b"">Evebot Fantasia Mini </b></a>предназначен для печати любых изображений, текста и фото поверх слоя пены кофейных напитков, молочных коктейлей, пива и на поверхности десертов в кофейнях, кафе, ресторанах и других предприятиях общественного питания и торговли. Модель оснащена интегрированным в корппус планшетом на платформе Аndroid. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Печать рисунков высокого разрешения </li>
<li>Картридж FancyBox Standart</li>
<li>Программное обеспечение c интуитивно понятным интерфейсом</li>
<li>Фотографии и картинки загружаются с любого мобильного устройства подключенного к интернету</li>
<li>Съедобные чернила, используемые для печати, не влияют на вкус или запах напитка</li>
<li>Сертификация пищевой безопасности в SGS </li>
<li>Компактный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость печати: от 10 до 40 сек.</li>
<li>Разрешение печати: 200 dpi</li>
<li>​Ресурс картриджа: от 800 до 1000 изображений</li>
<li>Диаметр чашки: от 40 до 100 мм </li>
<li>Габариты в упаковке: 320х400х600 мм </li>
</ul>",184479,330 мм,190 мм,440 мм,Россия,0,,,,монохромный,1,от 50 до 240 мм
