Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Производительность,Объем,Вес (с упаковкой),Цвет,Подключение к водопроводу,Индикатор уровня воды,Заваривание чая/кофе,Камбузное оборудование
https://cdn.entero.ru/mp@2x/b8/37/b8370e7025f9196896ff08d63c15a5de.jpg;https://cdn.entero.ru/mp@2x/79/e6/79e6c76a25cb69b74786941586d9f6ea.jpg;https://cdn.entero.ru/mp@2x/7c/b6/7cb6b738fd1d75ca4a2cbaa27b8d8ae7.jpg;https://cdn.entero.ru/mp@2x/df/75/df757beae73a91f2edbaf3b1e01289d4.jpg,Кипятильник Дебис КНЭ-100-01 нерж. сталь,Кипятильник Дебис КНЭ-100-01 нерж. сталь,23490,RUB,Да,Дебис,Профоборудование,Тепловое,Кипятильники,https://entero.ru/item/20770,"<p>Кипятильник электрический <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/20770""><b class=""b"">Дебис КНЭ-100-01</b></a> проточного типа, непрерывного действия выполнен полностью из нержавеющей стали.</p>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",20770,проточный,380 В,10 кВт,235 мм,235 мм,330 мм,8 кг,Россия,1,350x350x460 мм,34,https://entero.ru/manuals/71832/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%94%D0%B5%D0%B1%D0%B8%D1%81%20%D0%9A%D0%9D%D0%AD-100-01.doc,24469,,6.5 кг,100 л/ч,,,,Да,,,
https://cdn.entero.ru/mp@2x/0b/5c/0b5c0b7106df7fd4ec1681a66357b6db.jpg,Электрокипятильник Hurakan HKN-HVZ35M,352083,14201,RUB,Да,Hurakan,Профоборудование,Тепловое,Кипятильники,https://entero.ru/item/170698,"<p>Кипятильник <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/170698"">Hurakan HKN-HVZ35M</a> </b>используется на предприятиях общественного питания и торговли, в офисах, отелях и т.д. для нагрева большого количества воды и последующего поддержания ее заданной температуры. Модель оснащена индикатором нагрева, автоматическим контролем уровня и температуры воды и сливным краном. Корпус выполнен из нержавеющей стали 201, резервуар - из нержавеющей стали 304, рычаг подачи воды - из пластика. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 600х240х400 мм </li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>

<p> </p>",170698,проточно-накопительный,220 В,2.5 кВт,190 мм,240 мм,580 мм,6.5 кг,Китай,1,400x200x500 мм,0,https://entero.ru/manuals/413878/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454972/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-HVZ35M.pdf;https://entero.ru/manuals/483801/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Hurakan%20HKN-HVZ35M.pdf;https://entero.ru/manuals/495250/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,5 кг,35 л/ч,12 л,,нерж. сталь,Да,Да,,
https://cdn.entero.ru/mp@2x/50/77/50771da7920133e0a621ebb01e148a8c.jpg,Электрокипятильник проточный Airhot CWB-20,Электрокипятильник проточный Airhot CWB-20,14450,RUB,Да,Airhot,Профоборудование,Тепловое,Кипятильники,https://entero.ru/item/125385,"<p>Кипятильник <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/125385"">Airhot CWB-20</a></b> используется на предприятиях общественного питания и торговли, в офисах, отелях и т.д. для нагрева большого количества воды. Модель оснащена автоматическим контролем уровня и температуры воды и LED-дисплеем с индикацией текущей температуры. Корпус и каплесборник выполнены из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Давление воды на входе: от 50 до 400 кПа</li>
<li>Расстояние до крана: 220 мм</li>
<li>Объём полезный: 7,3 литра</li>
<li>Время нагрева: от 18 до 23 мин.</li>
<li>Габариты в упаковке: 410х240х685 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",125385,проточный,220 В,2.5 кВт,190 мм,285 мм,630 мм,6.9 кг,Китай,1,415x290x660 мм,0,https://entero.ru/manuals/521607/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20CWB-20.pdf,,,5.5 кг,35 л/ч,10.8 л,,нерж. сталь,Да,,,
https://cdn.entero.ru/mp@2x/f1/ed/f1edd8b9a99b25c82edbf0fe84f3376f.jpg;https://cdn.entero.ru/mp@2x/d8/d5/d8d5d3ecda6ec2126e49d5b9b668016f.jpg,Электрокипятильник Hurakan HKN-HVZ22,Электрокипятильник Hurakan HKN-HVZ22,16798,RUB,Да,Hurakan,Профоборудование,Тепловое,Кипятильники,https://entero.ru/item/73558,"<p>Кипятильник <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/73558"">Hurakan HKN-HVZ22</a></b> используется на предприятиях общественного питания и торговли для нагрева большого количества воды. Модель оснащена электронной панелью управления, индикатором нагрева, автоматическим контролем уровня и температуры воды, защитой от перегрева, сливным краном и каплесборником. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Функция блокировки работы без воды</li>
<li>Функция предупреждения об ошибках</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>
<p>Давление воды на входе: от 0,2 до 0,6 МПа</p>
</li>
</ul>",73558,проточный,220 В,2.5 кВт,190 мм,360 мм,520 мм,6 кг,Китай,1,240x395x575 мм,30,https://entero.ru/manuals/413821/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-HVZ22.pdf;https://entero.ru/manuals/413822/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-HVZ22.pdf;https://entero.ru/manuals/413823/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-HVZ22.pdf;https://entero.ru/manuals/413824/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/495253/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,18259,,5.9 кг,22 л/ч,5 л,,нерж. сталь,Да,,,
https://cdn.entero.ru/mp@2x/fa/dd/fadd0370c9a9e5f739f74ebdb54bd4c9.jpg,Кипятильник Abat КВЭ-15,41000002602,20460,RUB,Да,Abat,Профоборудование,Тепловое,Кипятильники,https://entero.ru/item/24907,"<p>Кипятильник <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/24907"">Abat КВЭ-15</a></b> предназначен для нагрева, кипячения и раздачи воды и приготовления горячих напитков на предприятиях общественного питания и торговли. Модель оснащена световым индикатором работы ТЭНа, индикатором уровня воды, регулятором температуры и краном для розлива кипятка.</p>

<p>Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от 30 до 110 °С</li>
<li>Время нагрева воды до температуры кипения: 30 мин.</li>
<li>Энергопотребление: 0,32 кВт*ч</li>
</ul>",24907,накопительный,220 В,3 кВт,306 мм,306 мм,385 мм,6.7 кг,Россия,1,360x360x400 мм,9,https://entero.ru/manuals/103484/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%9A%D0%92%D0%AD-15.jpg;https://entero.ru/manuals/103483/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Abat%20%D0%9A%D0%92%D0%AD-15.pdf;https://entero.ru/manuals/103486/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/103485/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,21313,,6 кг,,15 л,,нерж. сталь,,Да,,
https://cdn.entero.ru/mp@2x/c1/89/c1898991a1d8c9a54b29c430a9237680.jpg,Кипятильник проточный ATESY Фонтан АКНЭ-100,Кипятильник Фонтан АКНЭ-100,54584,RUB,Да,ATESY,Профоборудование,Тепловое,Кипятильники,https://entero.ru/item/30374,"<p>Кипятильник <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/30374"">ATESY Фонтан АКНЭ-100</a></b> используется на предприятиях общественного питания и торговли для непрерывного приготовления кипятка для варки гарниров, овощей, сосисок, пельменей и других продуктов питания, а также для заваривания и приготовления горячих напитков, стерилизации кухонной и столовой посуды, столовых приборов. Модель оснащена 3 трубчатыми электронагревателеми (ТЭНами), которые осуществляют нагрев воды. Корпус выполнен из нержавеющей стали AISI 430, внутренняя часть, состоящая из кипятильного сосуда и сборника кипятка - из нержавеющей стали AISI 304.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Подготавливает и раздает кипяток гарантированной температуры 98 °С</li>
<li>Принцип действия: вода из водопроводной сети поступает в кипятильный сосуд, где расположен ТЭН, осуществляющий нагрев воды до температуры кипения, в процессе кипения вода поступает в сборник кипятка</li>
<li>Кипяток из кипятильника можно получить путем открывания крана, расположенного на корпусе</li>
<li>Блок управления нагревом исключает возможность смешивания сырой воды с раздаваемым кипятком</li>
<li>Специальная конструкция крышки не позволяет конденсату стекать на корпус кипятильника</li>
<li>Может быть установлен либо на имеющиеся столы, либо на специальную подставку (приобретается отдельно)</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем:
<ul>
<li>Кипятильный сосуд: 4 л</li>
<li>Сборник кипятка: 2 л</li>
</ul>
</li>
<li>Время нагрева воды до кипения: 3 мин.</li>
<li>Давление воды в водопроводной сети: от 50 до 600 кПа</li>
</ul>",30374,проточный,380 В,12 кВт,420 мм,370 мм,360 мм,14 кг,Россия,1,370x360x390 мм,7,https://entero.ru/manuals/125077/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ATESY%20%D0%A4%D0%BE%D0%BD%D1%82%D0%B0%D0%BD%20%D0%90%D0%9A%D0%9D%D0%AD-100.pdf;https://entero.ru/manuals/125078/%D0%93%D0%B0%D0%B1%D0%B0%D1%80%D0%B8%D1%82%D0%BD%D1%8B%D0%B9%20%D1%87%D0%B5%D1%80%D1%82%D0%B5%D0%B6%20ATESY%20%D0%A4%D0%BE%D0%BD%D1%82%D0%B0%D0%BD%20%D0%90%D0%9A%D0%9D%D0%AD-100.pdf;https://entero.ru/manuals/125079/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%281%29.pdf;https://entero.ru/manuals/125080/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%282%29.pdf;https://entero.ru/manuals/281393/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20ATESY%202021.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456239508&hd=2&autoplay=0,13 кг,100 л/ч,4 л,,нерж. сталь,Да,,,
https://cdn.entero.ru/mp@2x/b1/e9/b1e95cc7ad6e692029ef6f78b626b13a.jpg;https://cdn.entero.ru/mp@2x/da/a6/daa6232f1b6020282faf0a1381204e90.jpg;https://cdn.entero.ru/mp@2x/a4/97/a497ddef4a5a3c332b0ae04ed571a4ff.jpg;https://cdn.entero.ru/mp@2x/0e/92/0e92c01d695adf49d11b0dcc77c5f0b9.jpg,Электрокипятильник Airhot WB-20,Электрокипятильник Airhot WB-20,8106,RUB,Да,Airhot,Профоборудование,Тепловое,Кипятильники,https://entero.ru/item/32433,"<p>Кипятильник <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/32433"">Airhot WB-20</a> </b>используется на предприятиях общественного питания и торговли, в офисах, отелях и т.д. для нагрева большого количества воды. Модель оснащена автоматическим контролем уровня и температуры воды, аварийным термостатом, индикатором нагрева и закрытым ТЭНом. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от 30 до 95 ºС</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",32433,накопительный,220 В,2.5 кВт,350 мм,352 мм,635 мм,4.28 кг,Китай,1,335x330x670 мм,0,https://entero.ru/manuals/96168/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Airhot%20WB-20.pdf;https://entero.ru/manuals/96167/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20WB-20.pdf;https://entero.ru/manuals/481979/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,3.54 кг,,20 л,,нерж. сталь,,Да,,
https://cdn.entero.ru/mp@2x/77/93/7793b5ca416f0ce5e2aa5e26bfff0253.jpg,Электрокипятильник Hurakan HKN-HVZ35,Электрокипятильник Hurakan HKN-HVZ35,17481,RUB,Да,Hurakan,Профоборудование,Тепловое,Кипятильники,https://entero.ru/item/73559,"<p>Кипятильник <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/73559"">Hurakan HKN-HVZ35</a> </b>используется на предприятиях общественного питания и торговли, в офисах, отелях и т.д. для нагрева большого количества воды. Модель оснащена электронной панелью управления, индикатором нагрева, автоматическим контролем уровня и температуры воды и сливным краном. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Функция блокировки работы без воды</li>
<li>Функция защиты от перегрева</li>
<li>Функция предупреждения об ошибках</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Давление воды на входе: от 0,2 до 0,6 МПа</li>
</ul>",73559,проточный,220 В,2.5 кВт,190 мм,360 мм,640 мм,7 кг,Китай,1,240x395x690 мм,27,https://entero.ru/manuals/413825/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-HVZ35.pdf;https://entero.ru/manuals/413826/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-HVZ35.pdf;https://entero.ru/manuals/413827/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-HVZ35.pdf;https://entero.ru/manuals/413828/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,18401,,6.8 кг,35 л/ч,10 л,,нерж. сталь,Да,,,
https://cdn.entero.ru/mp@2x/2d/cd/2dcd1733e6f4c2dc37b229837404bb52.jpg,Электрокипятильник Hurakan HKN-HVN30,Электрокипятильник Hurakan HKN-HVN30,8999,RUB,Да,Hurakan,Профоборудование,Тепловое,Кипятильники,https://entero.ru/item/46432,"<p>Водонагреватель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/46432"">Hurakan HKN-HVN30</a></b> используется на предприятиях общественного питания и торговли для нагрева воды и последующего поддержания ее заданной температуры. Модель оснащена закрытым нагревательным элементом, регулируемым термостатом, индикатором нагрева и ручками. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от 30 до 110 °C</li>
<li>Полезный объем: 19 л</li>
</ul>",46432,накопительный,220 В,3 кВт,460 мм,440 мм,440 мм,5 кг,Китай,1,410x410x480 мм,45,https://entero.ru/manuals/415490/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-HVN30.pdf;https://entero.ru/manuals/415492/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-HVN30.pdf;https://entero.ru/manuals/415493/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454868/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-HVN30.pdf;https://entero.ru/manuals/495245/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,4.2 кг,34.6 л/ч,30 л,,нерж. сталь,,Да,,
https://cdn.entero.ru/mp@2x/ad/99/ad99c8870284ec2283ec581bc7840e3a.jpg,Электрокипятильник Hurakan HKN-HVZ25M,Электрокипятильник Hurakan HKN-HVZ25M,16075,RUB,Да,Hurakan,Профоборудование,Тепловое,Кипятильники,https://entero.ru/item/170696,"<p>Кипятильник <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/170696"">Hurakan HKN-HVZ25M</a> </b>используется на предприятиях общественного питания и торговли, в офисах, отелях и т.д. для нагрева большого количества воды и последующего поддержания ее заданной температуры. Модель оснащена индикатором нагрева, автоматическим контролем уровня и температуры воды и сливным краном. Корпус выполнен из нержавеющей стали 201, резервуар - из нержавеющей стали 304.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 560х240х400 мм </li>
</ul>",170696,проточно-накопительный,220 В,2.5 кВт,190 мм,240 мм,500 мм,4 кг,Китай,1,360x200x510 мм,0,https://entero.ru/manuals/413877/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454969/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-HVZ25M.pdf;https://entero.ru/manuals/473608/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Hurakan%20HKN-HVZ25M.pdf;https://entero.ru/manuals/495249/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241043&hash=9d8f74f4c749ed34,3.5 кг,25 л/ч,8 л,,нерж. сталь,Да,Да,,
